ELLEN MARLENE MOSCOSO GAS|355586|6281817|-33.5936|-70.5564|
GUILLERMINA ESTER|344727|6283315|-33.5786|-70.6731|
D LLA FRUIT|341245|6306884|-33.3656|-70.7064|
CAMILA|337592|6298894|-33.4371|-70.7471|
MARKITO|345657|6292655|-33.4945|-70.6615|
ALMACEN CHARLY CHICO|347337|6282540|-33.5859|-70.6451|
MINIMARKET ENRIQUE|341977|6280150|-33.6067|-70.7033|
FERNANDA|341956|6283492|-33.5766|-70.7029|
GLADYS|342405|6278170|-33.6246|-70.699|
DON BETO|345645|6283658|-33.5756|-70.6631|
JUANA DEL CARMEN|348178|6306349|-33.3714|-70.632|
ISABEL PETRONILA ARCAYA G|333990|6287183|-33.5421|-70.788|
BOTILLERIA CAROLINA|345973|6283331|-33.5786|-70.6597|
ALMACEN LA ESCALERA|348116|6293198|-33.49|-70.6349|
COM GONZALEZ|337224|6301144|-33.4167|-70.7507|
ALMACEN C Y S|347480|6283077|-33.5811|-70.6435|
ISABEL C CISTERNAS MATURA|352496|6287121|-33.5454|-70.5888|
SANTA TERESA|335402|6288207|-33.5331|-70.7726|
KAREN|346684|6287345|-33.5425|-70.6513|
EL NEGRITO|339402|6302299|-33.4066|-70.727|
LENNY|336270|6307370|-33.3604|-70.7598|
LEOCRISMA|358245|6294238|-33.482|-70.5257|
SAN RICARDO|347465|6282502|-33.5863|-70.6437|
LUAN|338036|6303343|-33.397|-70.7415|
CLAUDIA URRUTIA|354040|6294314|-33.4807|-70.571|
BAZAR ARIEL|344570|6290834|-33.5108|-70.6735|
KEVIN|343980|6299385|-33.4336|-70.6783|
VILUM MARKET|337499|6300138|-33.4258|-70.7479|
TIENDA UPA!-SHELL (F.165)|358947|6303027|-33.4028|-70.5168|
ANITA|343538|6291559|-33.5041|-70.6844|
ROSA CARVAJAL CONTRERAS|350028|6286514|-33.5505|-70.6154|
EL TALENTO|340098|6308220|-33.3534|-70.7185|
JUAN TOLOSA CALFULAF MILLAHUEQUE|345297|6282115|-33.5895|-70.6671|
TIENDA UPA!-SHELL (F.152)|353120|6300628|-33.4237|-70.5798|
PATRICIA|343737|6297347|-33.4519|-70.6813|
BAZAR CLAUDIA|347852|6283459|-33.5777|-70.6394|
LAS PRINCESITAS|347843|6283342|-33.5788|-70.6395|
EL DROOPY|335675|6292198|-33.4971|-70.7689|
BRINDIS|341785|6281325|-33.5961|-70.7051|
ARIAS MARKET|348632|6296571|-33.4596|-70.6288|
SAN VICENTE|345821|6285969|-33.5548|-70.6608|
JENNY ALVAREZ FUENTES|343311|6292581|-33.4948|-70.6867|
LA COTE|338255|6300181|-33.4256|-70.7397|
EL GRIFO|337056|6306776|-33.3659|-70.7514|
TIENDA UPA!-SHELL (F.159)|342305|6293666|-33.4849|-70.6973|
ECOMARKET S|338284|6296573|-33.4581|-70.7401|
TIENDA UPA!-SHELL (F.793)|351062|6300254|-33.4268|-70.602|
SAY HERMINIA BALBOA FLORES|343264|6291523|-33.5044|-70.6874|
RODRIGO|338706|6292087|-33.4986|-70.7363|
DONDE LA NANCY|338168|6308567|-33.3499|-70.7392|
ANDREA - ANDRES|348237|6295235|-33.4716|-70.6333|
DONDE LAS CHIQUILLAS JESSICA Y SILVIA|338634|6308203|-33.3533|-70.7342|
VILLA ALEGRE|339819|6292259|-33.4972|-70.7243|
MARCELA ANDREA AGURTO ORTEGA|347469|6298766|-33.4397|-70.6409|
MINIMARKET|339164|6299386|-33.4329|-70.7301|
JUAN PABLO MORENO VERA|342581|6298139|-33.4446|-70.6936|
ETIENNE|345113|6284301|-33.5697|-70.6687|
BAZAR|334212|6285008|-33.5617|-70.786|
PROVISIONES OLGUITA RECOL|346193|6304856|-33.3846|-70.6536|
SANTA OLGA|344242|6301667|-33.413|-70.6751|
LIBRERIA JIT|355519|6304245|-33.3914|-70.5535|
MARTINA|339873|6294835|-33.474|-70.7233|
MINIMARKET KEKO|342165|6294832|-33.4744|-70.6986|
LOS SOCIOS|340795|6295448|-33.4686|-70.7133|
CONFITERIA Y CAFETERIA SN|347666|6292338|-33.4976|-70.6399|
ANGEMAR 13|347624|6290732|-33.5121|-70.6406|
FRANCISCO JAVIER GONZALEZ|349236|6285704|-33.5577|-70.6241|
DON REMI|338933|6291017|-33.5083|-70.7341|
YASNITA Y CARLITOS|342096|6295309|-33.4701|-70.6993|
LUIS MORA|340648|6293010|-33.4906|-70.7153|
MINIMARKET JUAN PABLO|341722|6294860|-33.474|-70.7034|
BOTILLERIA GILBERTO HUECH|347575|6306685|-33.3683|-70.6384|
LOS LAGOS|354693|6294109|-33.4827|-70.564|
BAZAR LOS CRUCES|335898|6301154|-33.4164|-70.7649|
TIENDA UPA!-SHELL (F.130)|347545|6299383|-33.4341|-70.64|
NUESTROS QUERUBINES|348254|6285447|-33.5599|-70.6347|
MINIMARKET ESPERANZA|344110|6299864|-33.4293|-70.6768|
KIOSCO JUAN OMAR PEZZO ZONCO|351830|6289002|-33.5283|-70.5956|
CAMILA|344304|6299230|-33.435|-70.6749|
TIO ARTURO|343111|6293998|-33.482|-70.6886|
PANADERIA VILLA MEXICO|339318|6291048|-33.5081|-70.73|
LUIS RAMIREZ RABIE CERRIL|338686|6290825|-33.51|-70.7368|
BAZAR FREDDY|342149|6302155|-33.4083|-70.6975|
ALMACEN EL PROGRESO|340186|6302861|-33.4017|-70.7185|
EL MIRADOR|340316|6291420|-33.5048|-70.7191|
LAS MARGARITAS|342031|6304012|-33.3916|-70.6985|
MAITE|342853|6295630|-33.4673|-70.6911|
SANTOS|347308|6287748|-33.539|-70.6445|
EL CID|353154|6294991|-33.4745|-70.5804|
SANTA IRMA|342922|6289527|-33.5223|-70.6914|
ALEBAR|351668|6291196|-33.5085|-70.597|
ROSITA|339289|6291572|-33.5033|-70.7302|
BOTILLERIA DON PATO|340261|6291461|-33.5045|-70.7197|
LA ESCALA SUR|360341|6307872|-33.3593|-70.5011|
MARIA JOSE|344134|6292859|-33.4924|-70.6778|
LOBUSAN|344200|6294335|-33.4791|-70.6768|
SANTA ANA|344381|6291247|-33.507|-70.6754|
EL CHIMBOTANO|347334|6297582|-33.4503|-70.6426|
SR DE MURUHUAY|345945|6300260|-33.426|-70.657|
ARAKNIDO|347441|6304755|-33.3857|-70.6402|
LA PIA|351345|6292164|-33.4997|-70.6003|
BIG CHANCE 2|351117|6291881|-33.5023|-70.6028|
KAVIMAR|343982|6290277|-33.5157|-70.6799|
LUDIGO|343473|6293859|-33.4833|-70.6847|
LA KELA|346410|6285581|-33.5584|-70.6546|
SAGITARIO|352169|6292232|-33.4992|-70.5914|
LA CHILOTA|347003|6305768|-33.3765|-70.6447|
CALVER|343133|6294253|-33.4797|-70.6883|
DAMU 4 LIFE|346730|6294538|-33.4777|-70.6496|
AQUILES FUENZALIDA FLORES|351373|6292946|-33.4927|-70.5999|
MARION|349125|6285514|-33.5594|-70.6253|
CAROL CLUB|349918|6288072|-33.5364|-70.6164|
ALMACEN DON RENE|344058|6290608|-33.5127|-70.679|
BAZAR VALLE VERDE EST CEN|339877|6296151|-33.4621|-70.723|
BOTILLERIA TIMY LA PINTAN|345787|6282866|-33.5828|-70.6617|
CARMELITA|342680|6295650|-33.4671|-70.693|
ALMACEN ALICIA Y FIDEL|346898|6290738|-33.512|-70.6484|
MINIMARKET HAROLDO|356975|6297091|-33.4561|-70.5389|
3 ORIENTE|344046|6294174|-33.4806|-70.6785|
MINIMARKET|357421|6297331|-33.454|-70.5341|
BOTILLERIA NELSON|349276|6289497|-33.5235|-70.623|
DON TOMAS|343292|6296159|-33.4626|-70.6863|
ALMACEN INFOSER|348602|6287099|-33.545|-70.6307|
MINIMARKET|359906|6307522|-33.3624|-70.5058|
RITA|346452|6282638|-33.5849|-70.6546|
EL ALVEAR|346924|6285562|-33.5586|-70.649|
RICHY|347263|6283224|-33.5798|-70.6458|
LEIDY|348340|6294543|-33.4779|-70.6323|
BRISTELA MUÑOZ GARRIDO|349463|6305679|-33.3776|-70.6183|
RONALD|348829|6288486|-33.5325|-70.628|
MAMI MARIA|347231|6285779|-33.5567|-70.6457|
AMASANDERIA ROYAL|339405|6290854|-33.5098|-70.729|
DIMAR|346369|6282827|-33.5832|-70.6555|
LA CASITA|343604|6291214|-33.5072|-70.6838|
TIO LALO|342630|6289495|-33.5225|-70.6946|
ROMERO KIOSCO|353323|6303603|-33.3969|-70.5772|
SAN RAFAEL|342109|6295803|-33.4656|-70.6991|
AL PASO PUNTO BIP|345317|6293993|-33.4824|-70.6649|
TORITO|343466|6290122|-33.517|-70.6855|
MINIMARKET EMY|340852|6297740|-33.448|-70.7122|
EL FUTURO|346253|6285288|-33.561|-70.6563|
JUAN BARRAZA SEPULVEDA|348783|6282897|-33.5829|-70.6295|
MINIMARKET EXPRESS LA REI|356993|6298035|-33.4476|-70.5386|
SOLEY|338520|6297468|-33.4501|-70.7374|
EL CLAN DESTINO|343004|6291778|-33.502|-70.6902|
LA PAPA|342691|6294959|-33.4733|-70.693|
MINIMARKET 4 M|349148|6293271|-33.4894|-70.6238|
MINIMARKET CERRO 18|360369|6308490|-33.3537|-70.5007|
VOY Y VUELVO|349401|6285990|-33.5551|-70.6223|
TIA MAGGY|352566|6293129|-33.4912|-70.587|
INTERNET R.A.P.|339949|6294582|-33.4763|-70.7225|
HAYDEE OLIVERO|347276|6287277|-33.5432|-70.6449|
DONDE CARLITOS|349063|6285068|-33.5634|-70.6261|
KENA FAST SERVICE|360942|6307343|-33.3642|-70.4947|
CARLOS RAMIREZ CACERES|349608|6281595|-33.5948|-70.6208|
BOTILLERIA LOS PORTENOS S|347722|6307235|-33.3633|-70.6368|
