mode;code;name;latitude;longitude;services
3;PH90;Raúl Silva Henríquez Esq Gerardo Barrios;-33.49223923;-70.68687586;105-120-125
3;PH91;Raúl Silva Henríquez Esq Cabo Cobo;-33.48874486;-70.68719555;105-120-125
3;PH92;Avenida Cerrillos Esq Av Departamental;-33.48597395;-70.68736781;105-120-125-H07
3;PH93;Parada Mercado Lo Valledor;-33.48246651;-70.68599759;105-120-125-H07
3;PH94;Parada 1 (M) Lo Valledor;-33.4784334;-70.68216369;113-115-125-H07
3;PH95;Av Alc Carlos Valdovinos Esq Central Nino García;-33.47852661;-70.67928142;113-115-125-H07
3;PH96;Av Alc Carlos Valdovinos Esq Valenzuela Llanos;-33.47856041;-70.67678541;113-115-125
3;PH97;Av Alc Carlos Valdovinos Esq Belén;-33.47864243;-70.67338635;113-115-125-345-H04-H07
3;PH98;Parada 1 (M) P Aguirre Cerda;-33.4787751;-70.66487653;113-115-125-H04
3;PH99;Av Alc Carlos Valdovinos Esq Panamericana 2;-33.47889062;-70.66231749;113-115-125-H04-H06
3;PI1;Avenida Las Rejas Esq Agustín López;-33.46070246;-70.70535153;101-102-107-481-I10
3;PI10;Av Lo Errázuriz Esq Bernard Shaw;-33.47621443;-70.72289476;101-481-I04-I14
3;PI100;Avenida El Olimpo Esq Avenida Grecia;-33.51310507;-70.77540836;108-118-419
3;PI1000;Avenida 4 Poniente Esq Inca De Oro;-33.51214392;-70.79080479;348-I07
3;PI1001;Avenida 4 Poniente Esq El Huaso;-33.51437612;-70.7910984;348-I07
3;PI1002;Avenida 4 Poniente Esq San José;-33.51706839;-70.79137999;348
3;PI1003;Av El Conquistador Esq Las Tinajas;-33.51653936;-70.79677358;348
3;PI1004;La Galaxia Esq Tte Sofanor Parra;-33.5077995;-70.79563481;I07
3;PI1005;La Galaxia Esq José M Borgoño;-33.50883363;-70.79521481;I07
3;PI1006;La Galaxia Esq Sen María De La Cruz;-33.51095582;-70.79438666;I07
3;PI1007;La Galaxia Esq Agua Santa;-33.51318834;-70.79403444;I07
3;PI1008;La Galaxia Esq Las Tinajas;-33.51593982;-70.79458648;I07
3;PI1009;Blanco Encalada Esq Kilimanjaro;-33.50022148;-70.7669969;I07
3;PI101;Parada Colegio Polivalente Patricio Mekis;-33.51034454;-70.77548115;108-118-348-419-I07-I18
3;PI1010;Blanco Encalada Esq Lib B O'Higgins;-33.50112316;-70.76447491;I07
3;PI1011;San Martín Esq Avenida Argentina;-33.49885604;-70.76409522;I07
3;PI1012;Arqto Hugo Bravo Esq Rebeca Matte;-33.47494329;-70.74605936;I07
3;PI1013;Arqto Hugo Bravo Esq Valenzuela Llanos;-33.47510314;-70.74367364;I07
3;PI1014;Ing Pedro Gallo Esq Kayac;-33.47483721;-70.74334549;I20
3;PI1015;Ing Pedro Gallo Esq La Comodoro;-33.47264666;-70.74264521;I20
3;PI1016;Avenida El Descanso Esq Chungungo;-33.47013105;-70.74389684;I20
