stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
PI-102,146,Renato Roca / Mariano Latorre,Paradero Informal 102,-18.46873247,-70.28598528,,,0,,,0
PI-100,141,Tucapel / Tarapacá,Paradero Informal 100,-18.47263066,-70.28860696,,,0,,,0
PI-132,178,Capitán Ávalos / Morrillos,Paradero Informal 132,-18.46557526,-70.28135281,,,0,,,0
PI-133,76,Capitán Ávalos / Morrillos,Paradero Informal 133,-18.46533759,-70.28163814,,,0,,,0
PI-134,126,Canteras / Curacaví,Paradero Informal 134,-18.4621496,-70.28125633,,,0,,,0
PI-135,127,Canteras / Perquenco,Paradero Informal 135,-18.46159166,-70.28130113,,,0,,,0
PI-130,124,Alejandro Azolas / La Paz,Paradero Informal 130,-18.46186736,-70.28909342,,,0,,,0
PI-131,74,Capitán Ávalos / Cementerio Parque de La Paz),Paradero Informal 131,-18.46869351,-70.28187395,,,0,,,0
PI-129,179,Alejandro Azolas / La Paz,Paradero Informal 129,-18.46202727,-70.28889636,,,0,,,0
PI-126,168,España / Edmundo Pérez Zujovic,Paradero Informal 126,-18.453626,-70.29968204,,,0,,,0
PI-125,112,España / José Joaquín Prieto,Paradero Informal 125,-18.45566122,-70.29932848,,,0,,,0
PI-128,104,Los Artesanos / Pedro Blanquier,Paradero Informal 128,-18.45395396,-70.29004362,,,0,,,0
PI-127,163,Gral Velasquez / Independencia (Regimiento Rancagua),Paradero Informal 127,-18.47296814,-70.31278558,,,0,,,0
PI-123,211,España / Frente Piscina Olímpica,Paradero Informal 123,-18.46157353,-70.30170543,,,0,,,0
PI-124,111,España / Piscina Olimpica,Paradero Informal 124,-18.46129439,-70.30186389,,,0,,,0
PI-121,166,Luis Beretta Porcel / Brasil,Paradero Informal 121,-18.46603516,-70.30464022,,,0,,,0
PI-120,110,Raul del Canto / Ronald Ross,Paradero Informal 120,-18.47139984,-70.304193,,,0,,,0
PI-119,117,Alejandro Azolas / Loa,Paradero Informal 119,-18.46918902,-70.29535018,,,0,,,0
PI-118,119,Loa / Alejandro Azolas,Paradero Informal 118,-18.46954854,-70.29523346,,,0,,,0
PI-117,90,Alejandro Azolas / Francisco Bilbao,Paradero Informal 117,-18.466468,-70.29306794,,,0,,,0
PI-116,123,Alejandro Azolas / Renato Rocca,Paradero Informal 116,-18.46483827,-70.29133143,,,0,,,0
PI-115,356,Renato Roca / Complejo Esteban Alvarado,Paradero Informal 115,-18.46511436,-70.290105,,,0,,,0
PI-114,176,Renato Roca / Chapiquiña,Paradero Informal 114,-18.46700682,-70.28816906,,,0,,,0
PI-151,103,Cancha Rayada / Los Artesanos,Paradero Informal 151,-18.44917179,-70.29158171,,,0,,,0
PI-150,143,Cancha Rayada / Soldado de Saldivar,Paradero Informal 150,-18.44929749,-70.29149039,,,0,,,0
PI-153,99,Cancha Rayada / Lagunillas,Paradero Informal 153,-18.44785213,-70.28987803,,,0,,,0
PI-152,102,Cancha Rayada / Lagunillas,Paradero Informal 152,-18.44812315,-70.28993914,,,0,,,0
PI-155,98,Cancha Rayada / Buena Esperanza,Paradero Informal 155,-18.44588411,-70.28889438,,,0,,,0
PI-154,13,Cancha Rayada / Buena Esperanza,Paradero Informal 154,-18.44616177,-70.28868717,,,0,,,0
PI-157,10,Cancha rayada / Lircay,Paradero Informal 157,-18.44355917,-70.28919915,,,0,,,0
PI-156,159,Cancha rayada / Colegio Ejército de Salvación,Paradero Informal 156,-18.44363728,-70.28934789,,,0,,,0
PI-88,82,Capitán Avalos / Las Dunas,Paradero Informal 88,-18.47583666,-70.28269576,,,0,,,0
PI-89,84,Capitán Ávalos / Ocarina,Paradero Informal 89,-18.47274851,-70.28247777,,,0,,,0
PI-84,88,Loa / Cap. Avalos,Paradero Informal 84,-18.47872353,-70.28291806,,,0,,,0
PFA-110,348,General Velasquez 7 José Victorino Lastarria,Paradero Formal Antiguo 110,-18.4741016,-70.31451461,,,0,,,0
PI-85,59,Capitán Ávalos / Los Algarrobos,Paradero Informal 85,-18.47836116,-70.28320173,,,0,,,0
PI-86,101,Capitan Avalos /  Colegio América,Paradero Informal 87,-18.47721187,-70.28297852,,,0,,,0
PI-87,100,Capitan Avalos / Filodentros,Paradero Informal 87,-18.47533931,-70.28291653,,,0,,,0
PI-81,60,René Schneider / Capitán Ávalos,Paradero Informal 81,-18.47999458,-70.28330681,,,0,,,0
PFA-115,349,Santa Maria / Diego Portales,Paradero Formal Antiguo 115,-18.47190815,-70.30567418,,,0,,,0
PI-80,64,Gral René Schneider / Cap. Avalos,Paradero Informal 80,-18.48018457,-70.28314181,,,0,,,0
PI-83,48,Joaquin Aracena  / Pacay (Mercado Cabo Aroca),Paradero Informal 83,-18.481364,-70.285989,,,0,,,0
PI-82,186,Capitan Avalos / Rodrigo Araya,Paradero Informal 82,-18.479809,-70.283724,,,0,,,0
PI-3,118,Tambo Quemado / Río Limarí,Paradero Informal 3,-18.50129385,-70.28259495,,,0,,,0
PI-2,51,Panamericana Norte /  Campamento Coraceros,Paradero Informal 2,-18.50666208,-70.28110605,,,0,,,0
PFA-118,72,Lib. Bernardo O'Higgins / Gral Manuel Baquedano,Paradero Formal Antiguo 118,-18.47740581,-70.3162125,,,0,,,0
PI-1,187,Carretera Panamericana 5 Sur / Regimiento Coraceros,Paradero Informal 1,-18.50919303,-70.27885227,,,0,,,0
PFA-116,319,Diego Portales / Pedro Aguirre Cerda,Paradero Formal Antiguo 116,-18.47731819,-70.2992197,,,0,,,0
PI-147,65,Linderos / Providencia,Paradero Informal 147,-18.45172038,-70.28455926,,,0,,,0
PI-148,155,Linderos / Isla Molino,Paradero Informal 148,-18.44944373,-70.28499538,,,0,,,0
PR169,502,El Roble / Andalien,Punto Referencia 169,-18.4465657,-70.29430618,,,0,,,0
PI-149,95,Linderos / Isla Alacran,Paradero Informal 149,-18.44898236,-70.28471144,,,0,,,0
PI-142,135,Canteras / Alejandro Azolas,Paradero Informal 142,-18.45661173,-70.28244106,,,0,,,0
PI-140,182,Alejandro Azolas / frente Colegio Da Vinci,Paradero Informal 140,-18.45688662,-70.28327169,,,0,,,0
PI-146,36,Linderos / Barros Arana,Paradero Informal 146,-18.45421078,-70.28439549,,,0,,,0
PI-145,125,Nacimiento / Samo Alto,Paradero Informal 145,-18.45412844,-70.28203797,,,0,,,0
PI-144,180,Nacimiento / Alicahue,Paradero Informal 144,-18.45465373,-70.28188934,,,0,,,0
PI-143,32,Nacimiento / La Diputada,Paradero Informal 143,-18.45574032,-70.2819118,,,0,,,0
PI-4,78,Tambo quemado / Rio Maullín,Paradero Informal 4,-18.500402,-70.28309177,,,0,,,0
PI-5,171,Panamericana Norte / Entrada Terminal ASOCAPEC,Paradero Informal 5,-18.49856515,-70.28551977,,,0,,,0
PI-99,175,Tucapel / Esteban Rios,Paradero Informal 99,-18.47274407,-70.28834646,,,0,,,0
PI-6,129,Alcalde Manuel Castillo Ibaceta / Rotonda Saucache,Paradero Informal 6,-18.49388635,-70.28821293,,,0,,,0
PI-7,218,Senador Luis Valente Rossi / San Pedro Onofre,Paradero Informal 7,-18.49357195,-70.29369767,,,0,,,0
PI-8,188,Cap. Avelino Villagrán / Cap. Pedro Quintavalle,Paradero Informal 8,-18.4950325,-70.29387631,,,0,,,0
PI-97,151,Tucapel / Joaquin Aracena,Paradero Informal 97,-18.47655271,-70.29168173,,,0,,,0
PI-98,122,Loa / Tucapel,Paradero Informal 98,-18.47418793,-70.29005569,,,0,,,0
PI-9,212,El Tepual / Pudahuel,Paradero Informal 9,-18.49802727,-70.29459538,,,0,,,0
PI-95,145,Tucapel / Putre,Paradero Informal 95,-18.47810454,-70.29337105,,,0,,,0
