route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
89328,9983,244704S9983P73,Vista Verde,,0,,244704
89328,9983,244704S9983P74,Vista Verde,,0,,244704
89328,9983,244704S9983P75,Vista Verde,,0,,244704
89328,9983,244704S9983P76,Vista Verde,,0,,244704
89328,9983,244704S9983P77,Vista Verde,,0,,244704
89328,9983,244704S9983P78,Vista Verde,,0,,244704
89328,9983,244704S9983P79,Vista Verde,,0,,244704
89328,9983,244704S9983P80,Vista Verde,,0,,244704
89328,9983,244704S9983P81,Vista Verde,,0,,244704
89328,9983,244704S9983P82,Vista Verde,,0,,244704
89328,9983,244704S9983P83,Vista Verde,,0,,244704
89328,9983,244704S9983P84,Vista Verde,,0,,244704
89328,9983,244704S9983P85,Vista Verde,,0,,244704
89328,9983,244704S9983P86,Vista Verde,,0,,244704
89328,9983,244704S9983P87,Vista Verde,,0,,244704
89328,9983,244704S9983P88,Vista Verde,,0,,244704
89328,9983,244704S9983P89,Vista Verde,,0,,244704
89328,9983,244704S9983P90,Vista Verde,,0,,244704
89328,9983,244704S9983P91,Vista Verde,,0,,244704
89328,9983,244704S9983P92,Vista Verde,,0,,244704
89328,9983,244704S9983P93,Vista Verde,,0,,244704
89328,9983,244704S9983P94,Vista Verde,,0,,244704
89328,9983,244704S9983P95,Vista Verde,,0,,244704
89328,9983,244704S9983P96,Vista Verde,,0,,244704
89328,9983,244704S9983P97,Vista Verde,,0,,244704
89328,9983,244704S9983P98,Vista Verde,,0,,244704
89328,9983,244704S9983P99,Vista Verde,,0,,244704
89328,9983,244704S9983P100,Vista Verde,,0,,244704
89328,9983,244704S9983P101,Vista Verde,,0,,244704
89328,9983,244704S9983P102,Vista Verde,,0,,244704
89328,9983,244704S9983P103,Vista Verde,,0,,244704
89328,9983,244704S9983P104,Vista Verde,,0,,244704
89328,9983,244704S9983P105,Vista Verde,,0,,244704
89328,9983,244704S9983P106,Vista Verde,,0,,244704
89328,9983,244704S9983P107,Vista Verde,,0,,244704
89328,9983,244704S9983P108,Vista Verde,,0,,244704
89328,9983,244704S9983P109,Vista Verde,,0,,244704
89328,9983,244704S9983P110,Vista Verde,,0,,244704
89328,9983,244704S9983P111,Vista Verde,,0,,244704
89328,9983,244704S9983P112,Vista Verde,,0,,244704
89328,9983,244704S9983P113,Vista Verde,,0,,244704
89328,9983,244704S9983P114,Vista Verde,,0,,244704
89328,9983,244704S9983P115,Vista Verde,,0,,244704
89328,9983,244704S9983P116,Vista Verde,,0,,244704
89328,9983,244704S9983P117,Vista Verde,,0,,244704
89328,9983,244704S9983P118,Vista Verde,,0,,244704
89328,9983,244704S9983P119,Vista Verde,,0,,244704
89328,9983,244704S9983P120,Vista Verde,,0,,244704
89328,9983,244704S9983P121,Vista Verde,,0,,244704
89328,9806,244705S9806P1,Pulmahue,,1,,244705
89328,9806,244705S9806P2,Pulmahue,,1,,244705
89328,9806,244705S9806P3,Pulmahue,,1,,244705
89328,9806,244705S9806P4,Pulmahue,,1,,244705
89328,9806,244705S9806P5,Pulmahue,,1,,244705
89328,9806,244705S9806P6,Pulmahue,,1,,244705
89328,9806,244705S9806P7,Pulmahue,,1,,244705
89328,9806,244705S9806P8,Pulmahue,,1,,244705
89328,9806,244705S9806P9,Pulmahue,,1,,244705
89328,9806,244705S9806P10,Pulmahue,,1,,244705
89328,9806,244705S9806P11,Pulmahue,,1,,244705
89328,9806,244705S9806P12,Pulmahue,,1,,244705
89328,9806,244705S9806P13,Pulmahue,,1,,244705
89328,9806,244705S9806P14,Pulmahue,,1,,244705
89328,9806,244705S9806P15,Pulmahue,,1,,244705
89328,9806,244705S9806P16,Pulmahue,,1,,244705
89328,9806,244705S9806P17,Pulmahue,,1,,244705
89328,9806,244705S9806P18,Pulmahue,,1,,244705
89328,9806,244705S9806P19,Pulmahue,,1,,244705
89328,9806,244705S9806P20,Pulmahue,,1,,244705
89328,9806,244705S9806P21,Pulmahue,,1,,244705
89328,9806,244705S9806P22,Pulmahue,,1,,244705
89328,9806,244705S9806P23,Pulmahue,,1,,244705
89328,9806,244705S9806P24,Pulmahue,,1,,244705
89328,9806,244705S9806P25,Pulmahue,,1,,244705
89328,9806,244705S9806P26,Pulmahue,,1,,244705
89328,9806,244705S9806P27,Pulmahue,,1,,244705
89328,9806,244705S9806P28,Pulmahue,,1,,244705
89328,9806,244705S9806P29,Pulmahue,,1,,244705
89328,9806,244705S9806P30,Pulmahue,,1,,244705
89328,9806,244705S9806P31,Pulmahue,,1,,244705
89328,9806,244705S9806P32,Pulmahue,,1,,244705
89328,9806,244705S9806P33,Pulmahue,,1,,244705
89328,9806,244705S9806P34,Pulmahue,,1,,244705
89328,9806,244705S9806P35,Pulmahue,,1,,244705
89328,9806,244705S9806P36,Pulmahue,,1,,244705
89328,9806,244705S9806P37,Pulmahue,,1,,244705
89328,9806,244705S9806P38,Pulmahue,,1,,244705
89328,9806,244705S9806P39,Pulmahue,,1,,244705
89328,9806,244705S9806P40,Pulmahue,,1,,244705
89328,9806,244705S9806P41,Pulmahue,,1,,244705
89328,9806,244705S9806P42,Pulmahue,,1,,244705
89328,9806,244705S9806P43,Pulmahue,,1,,244705
89328,9806,244705S9806P44,Pulmahue,,1,,244705
89328,9806,244705S9806P45,Pulmahue,,1,,244705
89328,9806,244705S9806P46,Pulmahue,,1,,244705
89328,9806,244705S9806P47,Pulmahue,,1,,244705
89328,9806,244705S9806P48,Pulmahue,,1,,244705
89328,9806,244705S9806P49,Pulmahue,,1,,244705
89328,9806,244705S9806P50,Pulmahue,,1,,244705
89328,9806,244705S9806P51,Pulmahue,,1,,244705
89328,9806,244705S9806P52,Pulmahue,,1,,244705
89328,9806,244705S9806P53,Pulmahue,,1,,244705
89328,9806,244705S9806P54,Pulmahue,,1,,244705
89328,9806,244705S9806P55,Pulmahue,,1,,244705
89328,9806,244705S9806P56,Pulmahue,,1,,244705
89328,9806,244705S9806P57,Pulmahue,,1,,244705
89328,9806,244705S9806P58,Pulmahue,,1,,244705
89328,9806,244705S9806P59,Pulmahue,,1,,244705
89328,9806,244705S9806P60,Pulmahue,,1,,244705
89328,9806,244705S9806P61,Pulmahue,,1,,244705
89328,9806,244705S9806P62,Pulmahue,,1,,244705
89328,9806,244705S9806P63,Pulmahue,,1,,244705
89328,9806,244705S9806P64,Pulmahue,,1,,244705
89328,9806,244705S9806P65,Pulmahue,,1,,244705
89328,9806,244705S9806P66,Pulmahue,,1,,244705
89328,9806,244705S9806P67,Pulmahue,,1,,244705
89328,9806,244705S9806P68,Pulmahue,,1,,244705
89328,9806,244705S9806P69,Pulmahue,,1,,244705
89328,9806,244705S9806P70,Pulmahue,,1,,244705
89328,9806,244705S9806P71,Pulmahue,,1,,244705
89328,9806,244705S9806P72,Pulmahue,,1,,244705
89328,9806,244705S9806P73,Pulmahue,,1,,244705
89328,9806,244705S9806P74,Pulmahue,,1,,244705
89328,9806,244705S9806P75,Pulmahue,,1,,244705
89328,9806,244705S9806P76,Pulmahue,,1,,244705
89328,9806,244705S9806P77,Pulmahue,,1,,244705
89328,9806,244705S9806P78,Pulmahue,,1,,244705
89328,9806,244705S9806P79,Pulmahue,,1,,244705
89328,9806,244705S9806P80,Pulmahue,,1,,244705
89328,9806,244705S9806P81,Pulmahue,,1,,244705
89328,9806,244705S9806P82,Pulmahue,,1,,244705
89328,9806,244705S9806P83,Pulmahue,,1,,244705
89328,9806,244705S9806P84,Pulmahue,,1,,244705
89328,9806,244705S9806P85,Pulmahue,,1,,244705
89328,9806,244705S9806P86,Pulmahue,,1,,244705
89328,9806,244705S9806P87,Pulmahue,,1,,244705
89328,9806,244705S9806P88,Pulmahue,,1,,244705
89328,9806,244705S9806P89,Pulmahue,,1,,244705
89328,9806,244705S9806P90,Pulmahue,,1,,244705
89328,9806,244705S9806P91,Pulmahue,,1,,244705
89328,9806,244705S9806P92,Pulmahue,,1,,244705
89328,9806,244705S9806P93,Pulmahue,,1,,244705
89328,9806,244705S9806P94,Pulmahue,,1,,244705
89328,9806,244705S9806P95,Pulmahue,,1,,244705
89328,9806,244705S9806P96,Pulmahue,,1,,244705
89328,9806,244705S9806P97,Pulmahue,,1,,244705
89328,9806,244705S9806P98,Pulmahue,,1,,244705
89328,9806,244705S9806P99,Pulmahue,,1,,244705
