iLat;iLon;stops;services;route_segments;puntos
16;5;N-62|N-65|N-86|N-89|P-278;AC_I|AC_R|AY1_R|A_I|A_R|C_I|C_R|FY1_R|F_I|F_R|T_I|T_R;17-18|31-32|11-12|17-18|27-28|20-21|40-41|11-12|6-7|26-27|16-17|22-23;
16;6;N-108|N-113|N-115|P-180;B_I|B_R|T_I|T_R;11|12|16|23;
16;7;N-156|P-258;FY1_R|F_R|T_I|T_R;8-9|23-24|16|23-24;
16;8;N-167|P-206|P-222;D_I|D_R|FY1_R|F_I|F_R|T_I|T_R;9|5|7-8-9|9|22-23-24|15-16|24;
16;9;N-197|N-198|N-205|N-214|N-221;AC_I|AC_R|AY1_R|A_I|A_R|E_I|E_R|M_I|M_R|ZY1_R;19-20-21|28|8|19-20-21|24|9-10|13-14|14-15-16|12|18;
16;10;N-231|N-234|N-239;AC_I|AC_R|AY1_R|A_I|A_R|E_I|E_R|FY1_I|F_I|F_R|M_I|M_R|T_I|T_R|X_I|X_R|ZY1_R|Z_I|Z_R;21-22|27-28|7-8|21-22|23-24|10-11|9-13|14|23|6|16-17|11-12|36|4|11|26|17-18|11|20;
16;11;N-248|N-249|N-255|P-147;AC_I|AC_R|AY1_I|AY1_R|A_I|A_R|E_R|FY1_I|F_I|F_R|M_I|M_R|T_I|T_R|X_I|X_R|ZY1_R|Z_I|Z_R;21-22|27-28|23-24-25-26-27|7-8|21-22-47-48-49-50-51|0-1-2-3-23-24|9-10-11-12-13|14|23|6|16-17|11-12|36-37-38|0-1-2-4|11|26|17-18|11|20;
16;12;N-263|N-264|N-265;AY1_I|A_I|A_R|T_I|T_R;25-26-27|49-50-51|0|38|0;
16;13;N-269;AY1_I|A_I|T_I;27-28|51-52|38;
17;4;N-57|PR-280|PR-309;AC_I|AC_R|AY1_R|A_I|A_R|C_I|C_R|FY1_R|F_I|F_R;16|33|13|16|29|19|42|13|5|28;
17;5;N-68|N-88;AC_I|AC_R|AY1_R|A_I|A_R|C_I|C_R|FY1_R|F_I|F_R;16-18|31-33|11-13|16-18|27-29|19|42|10-11-13|5-7-8|25-26-28;
17;6;N-104|N-114|N-121|N-98;AC_I|AC_R|AY1_R|A_I|A_R|B_I|B_R|FY1_R|F_I|F_R;18-19|30-31|10-11|18-19|26-27|11|12|10-14|4-8|25-29;
17;7;N-130|N-134|N-139|N-143|N-159|N-161;AC_I|AC_R|AY1_R|A_I|A_R|FY1_R|F_I|F_R|M_I|T_I|T_R|ZY1_R|Z_I|Z_R;19|30|10|19|26|10-14|4-8|25-29|12-13-14|13-14|25-26|18-19|7-8|23-24;
17;8;N-170|PR-142|PR-143|PR-144|PR-145|PR-146;AC_I|AC_R|AY1_R|A_I|A_R|D_I|D_R|FY1_R|F_I|F_R|M_I|M_R|T_I|T_R|ZY1_R|Z_I|Z_R;19|29-30|9-10|19|25-26|9|5|9-10-14-15|3-4-8-9|24-25-29-30|11-12-14|13-14-15|14-15|24-25|18|8-9|22-23;
17;9;N-199|N-208;AC_I|AC_R|AY1_R|A_I|A_R|E_I|E_R|M_I|M_R|ZY1_R;19-20-21|28-29|8-9|19-20-21|24-25|9|14|14-15-16|12-13|18;
17;10;N-223;X_I|X_R|Z_I|Z_R;9-10|27-28|10|21;
17;11;N-241|N-242|N-243;FY1_I|F_I|F_R|T_R|X_I|X_R|Z_I|Z_R;14|23|6|2-3-4|10-11|26-27|10-11|20-21;
17;12;;A_R|T_R;0|0;
17;13;N-268|PR-291;A_R|T_I|T_R;0|38|0;
17;14;N-274|N-275;T_I|T_R;38|0;
17;15;N-280|N-284|P-122;B_I|B_R|D_I|D_R|E_I|E_R|FY1_I|F_I|M_I|M_R|T_I|T_R|X_I|X_R;1|22|1|13|1|22|18-19|27-28|1|27|38-39-40-41|0|1|36;
17;16;P-121;B_I|B_R|D_I|D_R|E_I|E_R|FY1_I|F_I|M_I|M_R|T_I|T_R|X_I|X_R;0-1|22-23|0-1|13-14|0-1|22-23|19|28|0-1|27-28|41-42|0|0-1|36-37;
17;17;;B_I|B_R|D_I|D_R|E_I|E_R|M_I|M_R|X_I|X_R;0|23|0|14|0|23|0|28|0|37;
18;5;N-64|N-76;AC_I|AC_R|AY1_R|A_I|A_R|C_I|C_R|FY1_R|F_I|F_R;15-16|33-34|13-14|15-16|29-30|18-19|42-43|13-14|4-5|28-29;
18;6;N-102|N-107|N-119|P-279|P-302;AC_I|AC_R|AY1_R|A_I|A_R|B_I|B_R|C_I|C_R|FY1_R|F_I|F_R;14-15|34-35|14-15|14-15|30-31|11|12|17-18|43-44|14|4|29;
18;7;N-126|N-142|N-150;B_I|B_R|T_I|T_R|ZY1_R|Z_I|Z_R;11|12|13|26|19|7|24;
18;8;N-174|N-179|N-196|P-141;D_I|D_R|FY1_R|F_I|F_R|M_I|M_R|Z_I|Z_R;9|5|15|3|30|11|15|9-10|21-22;
18;9;N-202|N-207|N-209;E_I|E_R|Z_I|Z_R;7-8-9|14-15-16|10|21;
18;10;N-232|PR-234;X_I|X_R|Z_I|Z_R;9|28|10|21;
18;11;N-247;FY1_I|F_I|F_R;14|23|6;
18;14;P-125|P-126;B_I|B_R|D_I|D_R|E_I|E_R|FY1_I|F_I|F_R|M_I|M_R|X_I|X_R;1|22|1|13|1|22|18|27|2|1|27|1|36;
18;15;N-281|P-123|P-124;B_I|B_R|D_I|D_R|E_I|E_R|FY1_I|F_I|F_R|M_I|M_R|T_I|X_I|X_R;1|22|1|13|1|22|18|27|0-1-2|1|27|40-41|1|36;
18;16;;FY1_I|F_I|F_R;19-20|28-29|0;
18;17;;B_I|B_R|D_I|D_R|E_I|E_R|M_I|M_R|X_I|X_R;0|23|0|14|0|23|0|28|0|37;
18;18;N-291|N-292;B_I|B_R|D_I|D_R|E_I|E_R|M_I|M_R|X_I|X_R;0|23|0|14|0|23|0|28|0|37;
18;19;;B_I|B_R|D_I|D_R|E_I|E_R|M_I|M_R|X_I|X_R;0|23|0|14|0|23|0|28|0|37;
18;20;N-293|N-294;B_I|B_R|D_I|D_R|E_I|E_R|M_I|M_R|X_I|X_R;0|23|0|14|0|23|0|28|0|37;
18;21;N-295|N-296;B_I|B_R|D_I|D_R|E_I|E_R|M_I|M_R|X_I|X_R;0|23|0|14|0|23|0|28|0|37;
18;22;N-298;B_I|B_R|D_I|D_R|E_I|E_R|M_I|M_R|X_I|X_R;0|23|0|14|0|23|0|28|0|37;
19;5;N-79|N-80|N-87;AC_I|AC_R|AY1_R|A_I|A_R|C_I|C_R;10-11-12|37-38-39|17-18-19|10-11-12|33-34-35|13-14-15|46-47-48;
19;6;N-110|N-118|N-90|P-297;AC_I|AC_R|AY1_R|A_I|A_R|C_I|C_R;8-9-10-12-13-14|35-36-37-39|15-16-17-19|8-9-10-12-13-14|31-32-33-35|11-12-13-15-16-17|44-45-46-48;
19;7;N-141|N-144|N-147|N-148|P-139|P-200;AC_I|AC_R|AY1_R|A_I|A_R|B_I|B_R|C_I|C_R|M_I|M_R|T_I|T_R|ZY1_R|Z_I|Z_R;7-8|39-40|19-20|7-8|35-36|10-11|12-13|10-11|48-49|9-10|16-17|11-12-13|26-27-28|19-20-21|5-6-7|24-25-26;
19;8;N-175|N-177|N-185|P-140|PR-179;B_I|B_R|D_I|D_R|FY1_R|F_I|F_R|M_I|M_R|T_I|T_R;8-9-10|13-14-15|8-9|5-6|15|3|30|10-11|15-16|9-10|29-30;
19;9;N-210|N-213|N-222|P-223|PR-178|PR-224;B_I|B_R|D_I|D_R|E_I|E_R;8|15|7-8|6-7|7|16;
19;10;N-230|N-236|N-240|P-177;B_I|B_R|X_I|X_R;7-8|15-16|8-9|28-29;
19;11;N-252|N-253;FY1_I|F_I|F_R|X_I|X_R;14|23|6|7-8|29-30;
19;13;;B_I|B_R|D_I|D_R|E_I|E_R|FY1_I|F_I|F_R|M_I|M_R|X_I|X_R;1|22|1|13|1|22|18|27|2|1|27|1|36;
19;14;P-127|P-128;B_I|B_R|D_I|D_R|E_I|E_R|FY1_I|F_I|F_R|M_I|M_R|X_I|X_R;1|22|1|13|1|22|18|27|2|1|27|1|36;
19;22;N-297;B_I|B_R|D_I|D_R|E_I|E_R|M_I|M_R|X_I|X_R;0|23|0|14|0|23|0|28|0|37;
19;23;;B_I|B_R|D_I|D_R|E_I|E_R|M_I|M_R|X_I|X_R;0|23|0|14|0|23|0|28|0|37;
19;24;N-299|N-300;B_I|B_R|D_I|D_R|E_I|E_R|M_I|M_R|X_I|X_R;0|23|0|14|0|23|0|28|0|37;
