301c;Angelmó;Lunes a Viernes;05:30;23:50
301c;Angelmó;Domingo y Festivos;07:30;23:50
301c;Angelmó;Sábado;06:30;23:50
301c;(M) La Cisterna;Lunes a Viernes;05:00;22:45
301c;(M) La Cisterna;Domingo y Festivos;07:30;22:50
301c;(M) La Cisterna;Sábado;06:30;22:52
301c2;Lo Blanco;Lunes a Viernes;17:30;20:24
301c2;(M) La Cisterna;Lunes a Viernes;05:00;09:20
301e;Angelmó;Lunes a Viernes;05:30;09:22
301e;Angelmó;Lunes a Viernes;17:30;21:24
301e;(M) La Moneda;Lunes a Viernes;05:00;09:23
301e;(M) La Moneda;Lunes a Viernes;17:30;21:20
302;La Pintana;Domingo y Festivos;05:30;00:45
302;La Pintana;Sábado;05:30;00:45
302;La Pintana;Lunes a Viernes;05:30;00:45
302;(M) Santa Ana;Domingo y Festivos;05:30;00:30
302;(M) Santa Ana;Lunes a Viernes;05:30;00:30
302;(M) Santa Ana;Sábado;05:30;00:30
302e;San Ramón;Lunes a Viernes;17:30;21:15
302e;San Ramón;Lunes a Viernes;06:00;09:00
302e;(M) Los Heroes;Lunes a Viernes;17:30;20:18
302e;(M) Los Heroes;Lunes a Viernes;06:00;08:54
302n;La Pintana;Sábado;01:15;05:15
302n;La Pintana;Domingo y Festivos;01:15;05:15
302n;La Pintana;Lunes a Viernes;01:15;05:15
302n;Alameda;Domingo y Festivos;01:00;05:00
302n;Alameda;Sábado;01:00;05:00
302n;Alameda;Lunes a Viernes;01:00;05:15
303;Plaza Italia;Lunes a Viernes;00:00;23:59
303;Plaza Italia;Sábado;00:00;23:59
303;Plaza Italia;Domingo y Festivos;00:00;23:59
303;Quilicura;Sábado;00:00;23:59
303;Quilicura;Domingo y Festivos;00:00;23:59
303;Quilicura;Lunes a Viernes;00:00;23:59
303e;(M) Santa Ana;Lunes a Viernes;17:30;21:20
303e;(M) Santa Ana;Lunes a Viernes;05:30;09:22
303e;Quilicura;Lunes a Viernes;05:30;09:18
303e;Quilicura;Lunes a Viernes;17:30;21:24
307;Plaza Italia;Domingo y Festivos;05:15;00:30
307;Plaza Italia;Lunes a Viernes;05:00;00:30
307;Plaza Italia;Sábado;05:15;00:30
307;Lo Marcoleta;Domingo y Festivos;05:40;01:10
307;Lo Marcoleta;Lunes a Viernes;05:40;01:00
307;Lo Marcoleta;Sábado;05:40;01:10
307e;Plaza Italia;Lunes a Viernes;05:00;09:24
307e;Plaza Italia;Lunes a Viernes;17:30;21:22
307e;Rigoberto Jara;Lunes a Viernes;05:30;09:22
307e;Rigoberto Jara;Lunes a Viernes;17:30;21:24
308;Mapocho;Lunes a Viernes;05:00;00:30
308;Mapocho;Domingo y Festivos;05:30;00:30
308;Mapocho;Sábado;05:30;00:30
308;Lo Marcoleta;Domingo y Festivos;05:30;00:30
308;Lo Marcoleta;Sábado;05:30;00:30
308;Lo Marcoleta;Lunes a Viernes;05:30;00:30
312e;Mapocho;Lunes a Viernes;06:30;09:15
312e;Quilicura;Lunes a Viernes;17:30;21:18
313e;Estacion Central;Lunes a Viernes;06:30;09:10
313e;Estacion Central;Lunes a Viernes;17:30;20:20
313e;Quilicura;Lunes a Viernes;06:20;09:15
313e;Quilicura;Lunes a Viernes;17:30;21:15
314;Plaza Italia;Lunes a Viernes;05:00;00:30
314;Plaza Italia;Sábado;05:15;00:30
314;Plaza Italia;Domingo y Festivos;05:15;00:30
314;Lo Marcoleta;Sábado;05:50;01:10
314;Lo Marcoleta;Lunes a Viernes;05:40;01:10
314;Lo Marcoleta;Domingo y Festivos;05:50;01:10
314e;Plaza Italia;Lunes a Viernes;06:30;08:20
314e;Plaza Italia;Lunes a Viernes;16:30;19:18
314e;Lo Marcoleta;Lunes a Viernes;07:30;09:15
314e;Lo Marcoleta;Lunes a Viernes;17:30;20:18
315e;Plaza Italia;Domingo y Festivos;05:30;22:45
315e;Plaza Italia;Sábado;05:30;22:45
315e;Plaza Italia;Lunes a Viernes;05:00;23:45
315e;Rigoberto Jara;Sábado;05:45;22:54
315e;Rigoberto Jara;Domingo y Festivos;05:45;22:45
315e;Rigoberto Jara;Lunes a Viernes;05:40;23:48
316e;(M) Cal Y Canto;Lunes a Viernes;18:00;18:30
316e;San Ignacio;Lunes a Viernes;07:00;07:30
321;Lo Sierra;Lunes a Viernes;05:30;22:55
321;Lo Sierra;Sábado;05:30;22:55
321;Lo Sierra;Domingo y Festivos;05:45;22:42
321;(M) Lo Ovalle;Sábado;05:30;22:43
321;(M) Lo Ovalle;Domingo y Festivos;05:45;22:42
321;(M) Lo Ovalle;Lunes a Viernes;05:30;22:45
322;Jardin Alto;Lunes a Viernes;05:50;23:40
322;Jardin Alto;Sábado;06:10;23:40
322;Jardin Alto;Domingo y Festivos;06:30;23:40
322;(M) Bellavista De La Florida;Domingo y Festivos;06:30;23:40
322;(M) Bellavista De La Florida;Lunes a Viernes;05:30;23:40
322;(M) Bellavista De La Florida;Sábado;05:50;23:40
323;La Loma;Sábado;06:00;23:55
323;La Loma;Lunes a Viernes;05:45;23:55
323;La Loma;Domingo y Festivos;07:00;23:55
323;(M) Bellavista De La Florida;Domingo y Festivos;06:45;23:45
323;(M) Bellavista De La Florida;Lunes a Viernes;05:30;23:46
323;(M) Bellavista De La Florida;Sábado;05:45;23:45
345;Alameda;Sábado;05:30;00:30
345;Alameda;Lunes a Viernes;05:30;00:30
345;Alameda;Domingo y Festivos;05:30;00:30
345;Lo Espejo;Sábado;05:30;00:30
345;Lo Espejo;Domingo y Festivos;05:30;00:30
345;Lo Espejo;Lunes a Viernes;05:30;00:30
346n;Alameda;Sábado;01:15;05:15
346n;Alameda;Domingo y Festivos;01:15;05:15
346n;Alameda;Lunes a Viernes;01:15;05:15
346n;Lo Espejo;Lunes a Viernes;01:15;05:15
346n;Lo Espejo;Sábado;01:15;05:15
346n;Lo Espejo;Domingo y Festivos;01:15;05:15
348;(M) Lo Ovalle;Lunes a Viernes;05:30;23:45
348;(M) Lo Ovalle;Domingo y Festivos;05:30;23:40
348;(M) Lo Ovalle;Sábado;05:30;23:45
348;Rinconada;Lunes a Viernes;05:30;23:45
348;Rinconada;Domingo y Festivos;06:00;23:40
348;Rinconada;Sábado;05:45;23:45
350;Rinconada;Lunes a Viernes;05:30;23:30
350;Ciudad Satelite;Lunes a Viernes;05:30;23:30
385;Florida Center;Domingo y Festivos;06:15;00:30
385;Florida Center;Sábado;06:00;00:30
385;Florida Center;Lunes a Viernes;05:30;00:30
385;Villa Francia;Lunes a Viernes;00:30;00:30
385;Villa Francia;Sábado;06:15;00:30
385;Villa Francia;Domingo y Festivos;06:30;00:30
401;Las Condes;Lunes a Viernes;05:00;23:56
401;Las Condes;Sábado;05:00;23:48
401;Las Condes;Domingo y Festivos;05:00;23:56
401;Maipu;Sábado;06:00;00:36
401;Maipu;Lunes a Viernes;06:00;00:36
401;Maipu;Domingo y Festivos;06:30;00:48
401n;Los Dominicos;Domingo y Festivos;00:00;04:46
401n;Los Dominicos;Sábado;00:00;04:41
401n;Los Dominicos;Lunes a Viernes;00:00;04:41
401n;Maipu;Sábado;01:02;05:51
401n;Maipu;Domingo y Festivos;01:00;05:45
401n;Maipu;Lunes a Viernes;01:02;05:51
402;Mapocho;Domingo y Festivos;05:42;00:10
402;Mapocho;Lunes a Viernes;05:30;00:10
402;Mapocho;Sábado;05:30;00:10
402;Pudahuel;Domingo y Festivos;06:02;00:45
402;Pudahuel;Lunes a Viernes;06:10;00:47
402;Pudahuel;Sábado;06:02;00:47
403;La Reina;Lunes a Viernes;05:52;01:24
403;La Reina;Domingo y Festivos;05:50;01:24
