stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
1421,,Camino Alerce / Avenida Austral,,-41.4488479164684,-72.9135287374344,,,0,
1422,,Ejército / Avenida Presidente Ibañez,,-41.463837,-72.927265,,,0,
1423,,Ejército / Población Lago Chapo,,-41.466164,-72.927865,,,0,
1424,,Ejército / Los Leones,Escuela Particular N. 192 San Jose Particular Subvencionado,-41.4665729208632,-72.9318532417335,,,0,
1425,,Ejército / Seminario,,-41.4690868822316,-72.9350245681229,,,0,
1426,,Benavente / Illapel,,-41.4708016583946,-72.9363914662705,,,0,
1427,,Quillota / Benavente,,-41.470912,-72.938609,,,0,
1429,,Avenida Diego Portales / San Martín,,-41.472682,-72.940369,,,0,
1430,,Avenida Diego Portales / Ancud,Avenida Diego Portales,-41.4758602017064,-72.949144708004,,,0,
1435,,Urmeneta / Anibal Pinto,,-41.4726897477506,-72.9473660932541,,,0,
1436,,Urmeneta / Cauquenes,,-41.4723076600287,-72.9447454576722,,,0,
1437,,Cauquenes / Antonio Varas,Frente Direccion General Del Trabajo,-41.4730272132444,-72.9441352883606,,,0,
1441,,Avenida Parque Industrial / Pasaje Los Melis,,-41.4606723022851,-72.9524513029022,,,0,
1442,,Avenida Parque Industrial / José Miguel Carrera,,-41.461265,-72.94821,,,0,
1443,,Homecenter Sodimac,,-41.461721,-72.945643,,,0,
1444,,Avenida Presidente Ibañez / Luis Silva,,-41.462566,-72.936219,,,0,
1445,,Avenida Presidente Ibañez / Santiago Ernst,"",-41.462872,-72.933152,,,0,
1446,,Avenida Presidente Ibañez / Quellón,,-41.463058,-72.931393,,,0,
1447,,Avenida Presidente Ibañez / Simón Cordovez,,-41.463228,-72.929611,,,0,
1448,,Avenida Presidente Ibañez / Coronel Holley,,-41.463405,-72.926099,,,0,
1449,,Camino Alerce / Bombero Artemio Mansilla,,-41.4612696078351,-72.9214359153441,,,0,
1450,,Camino Alerce / Cuarta Terraza,,-41.4589227670388,-72.9188309153443,,,0,
1451,,"Camino Alerce, Sector La Vara",,-41.4263137438002,-72.9114935509261,,,0,
1452,,Camino Alerce,,-41.4129041912934,-72.9144527460327,,,0,
1453,,Supermercado Acuenta,,-41.4066996945926,-72.9148447840614,,,0,
1454,,Avenida Transversal 2 / Cerro Guife,,-41.4079466370621,-72.9103945509262,,,0,
1455,,Centro De Salud Alerce Sapu,,-41.3976375550137,-72.9039550085984,,,0,
1456,,Avenida Norte Sur 2 / Avenida Transversal 3,Cerca Liceo Industrial Alerce,-41.3894147052417,-72.9080838306885,,,0,
1457,,Avenida Transversal 2 / Cerro Juan Luis,,-41.407035730069,-72.9124641018524,,,0,
1458,,Camino Alerce / Obispo Juan Gonzalez,,-41.452991,-72.915542,,,0,
1459,,Arturo Pacheco Altamirano / Avenida Transversal 3,,-41.386678,-72.896524,,,0,
1460,,Avenida Transversal 3 / Caleta Puelche,,-41.3870965923489,-72.8977715509262,,,0,
1461,,Avenida Transversal 3 / Avenida 2 Oriente,,-41.3872955061325,-72.8984065975533,,,0,
1462,,Circunvalacion Norte Sur / Vía Norte,,-41.4067815654882,-72.9051339619713,,,0,
1463,,Supermercado Acuenta,Supermercado A Cuenta_ Senderos De Alerce,-41.4065607884822,-72.9147913055572,,,0,
1464,,Camino Alerce,,-41.4233006967273,-72.9133871018524,,,0,
1465,,Avenida Presidente Ibañez / Chacabuco,,-41.463079,-72.929589,,,0,
1466,,Avenida Presidente Ibañez / Quellón,,-41.462926,-72.930956,,,0,
1467,,Avenida Presidente Ibañez / Chonchi,,-41.462485,-72.935726,,,0,
1468,,Supermercado Lider,,-41.460718,-72.950378,,,0,
1469,,Avenida Parque Industrial / Panamericana Norte Servicio,,-41.4602796873203,-72.9536795558892,,,0,
1470,,Avenida Presidente Salvador Allende / Avenida Presidente Ibañez,,-41.464539,-72.954272,,,0,
1471,,Avenida Diego Portales / Chillán,Avenida Diego Portales,-41.4734405548121,-72.9442916441802,,,0,
1473,,Avenida Diego Portales / Talca,,-41.473531,-72.943305,,,0,
1474,,Avenida Diego Portales / Guillermo Gallardo,,-41.472963,-72.940489,,,0,
1475,,Mall Paseo Costanera,Avenida Juan Soler Manfredini / Avenida España,-41.473015748013,-72.937563309193,,,0,
1476,,Copiapó / Avenida Juan Soler Manfredini,,-41.47355,-72.935072,,,0,
1477,,Copiapó / Egaña,,-41.472293,-72.934666,,,0,
1478,,Achs,Asociacion Chilena De Seguridad,-41.4689475876686,-72.9339155975532,,,0,
1479,,Jumbo / Easy,Hotelera Diego De Almagro,-41.4679495568283,-72.9323674576722,,,0,
1480,,Ejército / Los Leones,,-41.466724871466,-72.9316689705696,,,0,
1481,,Ejército / Avenida Presidente Ibañez,,-41.463812,-72.927012,,,0,
1482,,Avenida Norte Sur 2 / Avenida Los Alerces,Feria Alerce,-41.396726856133,-72.904470682209,,,0,
1483,,Terminal Municipal De Buses Puerto Montt,Diego Portales / Eusebio Lilo,-41.477348,-72.950419,70,,0,
1486,,Avenida Presidente Salvador Allende / Avenida Parque Industrial,,-41.461181,-72.954643,,,0,
1487,,Panamericana Sur / Pasaje Tres,,-41.458334,-72.95436,,,0,
1488,,Panamericana Norte / Canal Beagle,"",-41.455911,-72.954519,,,0,
1489,,Ruta 5 Sur / Empresas De Transporte J. Bustamante,,-41.379885,-72.96865,,,0,
1490,,San Francisco / Colón,"",-41.32419,-72.985426,,,0,
