paradas;servicios
PB1076;B17R
PB1077;B17R
PB1078;B17R
PB1079;B24R-B28R
PB108;101I-107I-107cI-B28I
PB1080;B24R-B28R
PB1083;B24I-B28I
PB1084;B24I-B28I
PB1085;B24I-B28I
PB1086;B24I-B28I
PB1087;B24I-B28I
PB1088;B24I-B28I
PB109;107R-107cR-116R-B02R-B02NR
PB1091;120R-B09R-B29I
PB1092;120R-B09R-B29I
PB1093;120R-B09R-B29I
PB1094;120R-B09R-B29I
PB1095;120R-B09R-B29I
PB1096;120R-B09R-B29I
PB1097;120R-B09R-B29I
PB1098;109R-B09R
PB1099;109R-B09R
PB11;101I-107I-107cI
PB110;107R-107cR-116R-B01I-B02R-B02NR
PB1100;109R-B09R
PB1101;109R-B09R
PB1102;109R-B09R
PB1103;B03R-B09R-B20R-B30NR
PB1105;B09R-B20R
PB1106;B05I-B10I-B12R
PB1107;B05I-B10I-B12R
PB1108;B05I-B10I
PB1109;B10I
PB111;107R-107cR-116R-223R-B02R-B02NR-B14R
PB1110;230I-B10I
PB1111;230I-B10I
PB1112;230I-B10I
PB1113;230I-B10I
PB1114;230I-B10I
PB1115;230I-B10I
PB1116;230I-B10I
PB1117;230I-B10I
PB1118;230I-B10I
PB1119;B10I
PB1120;B10I-B27I
PB1121;B10I-B27I
PB1122;B10I
PB1123;B10I
PB1124;B10I
PB1125;B10I-B24I
PB1126;B10I-B24I
PB1127;B10I-B24I
PB1128;B10I-B24I
PB1129;B10R
PB113;107R-107cR-116R-B05I
PB1130;B10R
PB1132;230R-B10R
PB1133;230R-B10R
PB1134;230R-B10R
PB1135;230R-B10R
PB1136;230R-B10R
PB1137;B10R
PB1138;B10R
PB1139;B10R
PB114;107R-107cR-116R-219eR-223I-B05I
PB1142;B11I
PB1143;B11I
PB1144;B11I
PB1146;B11I-B21I-B31NI
PB1147;B11I-B31NI
PB1148;B11I-B31NI
PB1149;B11I-B31NI
PB115;107R-107cR-116R-223I
PB1150;B11I-B31NI
PB1151;B11I
PB1152;B11I
PB1153;B11I
PB1154;B11I
PB1155;B11I
PB1156;B11I-B21I-B22R-B27R
PB1157;B11I-B21I
PB1158;B11I-B21I
PB1159;B11I-B21I
PB116;112I-112NI-425R-429R-429cR
PB1160;B11R-B12R
PB1161;230I-B11R
PB1162;230I-B11R
PB1163;230I-B11R
PB1164;B11R
PB1165;B11R
PB1167;B11R-B21R
PB1168;B11R-B21R
PB1169;B11R
PB117;112I-112NI-425R-429R-429cR
PB1170;B11R
PB1171;B11R
PB1172;B11R
PB1173;B11R
PB1174;B11R
PB1175;B11R-B31NR
PB1176;B11R-B31NR
PB1177;B11R-B31NR
PB1178;B11R-B31NR
PB1179;B11R-B31NR
PB118;112I-112NI-425R-429R-429cR
PB1180;B11R-B21R-B31NR
PB1181;B11R
PB1182;B11R
PB1183;B11R
PB1184;B11R
PB1186;B12I-B22I
PB1187;B12I
PB1188;B12I
PB1189;B12I
PB119;112I-112NI-425R-429R-429cR-435R
PB1190;B12I
PB1191;B12I
PB1192;B12I
PB1193;B05R-B10R-B12I
PB1194;B05R-B12I
PB1195;B05R-B12I
PB1196;B05R-B12I
PB1197;B05R-B12I
PB1198;313eR-316eR-B12I
PB1199;B12I
PB120;112I-112NI-425R-429R-429cR-430R-435R
PB1200;B12I
PB1201;B12I
