service;origin;destiny;color
B30N;RENCA;CENTRO;ED1C24
B31N;ALAMEDA;QUILICURA;ED1C24
C01;(M) FRANCISCO BILBAO;CERRO 18;ED1C24
C01c;(M) ESCUELA MILITAR;LA ERMITA ;ED1C24
C02;SAN CARLOS DE APOQUINDO;(M) ESCUELA MILITAR;ED1C24
C02c;SAN CARLOS DE APOQUINDO;(M) LOS DOMINICOS;ED1C24
C03;ROTONDA PEREZ ZUKJOVIC;VITAL APOQUINDO;ED1C24
C03c;LO GALLO;VITAL APOQUINDO;ED1C24
C04;VITAL APOQUINDO;(M) MANUEL MONTT;ED1C24
C05;LA ERMITA;(M) FRANCISCO BILBAO;ED1C24
C06;VITAL APOQUINDO;(M) TOBALABA;ED1C24
C07;LA PIRAMIDE;(M) FRANCISCO BILBAO;ED1C24
C08;CAMINO REAL;CANTAGALLO;ED1C24
C09;LA DEHESA;NUEVA BILBAO;ED1C24
C10e;(M) TOBALABA;CAMINO JUAN PABLO II;ED1C24
C11;(M) ESCUELA MILITAR;TABANCURA;ED1C24
C12;CAMINO JUAN PABLO II;CANTAGALLO;ED1C24
C13;CANTAGALLO;LA LAGUNA;ED1C24
C14;(M) ESCUELA MILITAR;LOS TRAPENSES;ED1C24
C15;(M) ESCUELA MILITAR;ESTORIL;ED1C24
C16;VITAL APOQUINDO;EL HUINGANAL;ED1C24
C17;CERRO 18;LOS TRAPENSES;ED1C24
C18;(M) ESCUELA MILITAR;CIUDAD EMPRESARIAL;ED1C24
C19;BERNARDO LARRAIN COTAPOS;CANTAGALLO;ED1C24
C20;(M) ESCUELA MILITAR;PARQUE ARAUCO;ED1C24
C21N;LOS TRAPENSES;(M) ESCUELA MILITAR;ED1C24
C22;(M) ESCUELA MILITAR;ROTONDA LO CURRO;ED1C24
D01;PLAZA EGAñA (M);CONSISTORIAL;F58220
D02;(M) IRARRAZAVAL;DIAGONAL LAS TORRES;F58220
D03;(M) TOESCA;LAS PARCELAS;F58220
D03c;(M) PLAZA EGAñA;LAS PARCELAS;F58220
D05;(M) FRANKLIN;MARIA ANGELICA;F58220
D07;DIAGONAL LAS TORRES;(M) FRANKLIN;F58220
D07c;DIAGONAL LAS TORRES;(M) LOS PRESIDENTES;F58220
D08;AV. GRECIA;(M) FRANCISCO BILBAO;F58220
D08c;PLAZA LA REINA;(M) FRANCISCO BILBAO;F58220
D09;DIAGONAL LAS TORRES;(M) MANUEL MONTT;F58220
D09N;DIAGONAL LAS TORRES;(M) SANTA ANA;F58220
D10;(M) CARLOS VALDOVINOS;ALVARO CASANOVA;F58220
D11;DIAGONAL LAS TORRES;MALL ALTO LAS CONDES;F58220
D12;MARIA ANGELICA; (M) FRANCISCO BILBAO;F58220
D13;(M) BELLAVISTA DE LA FLORIDA;(M) IRARRAZAVAL;00B33C
D14;(M) PEDRERO;(M) QUILIN;F58220
D15;DIAGONAL LAS TORRES;(M) FRANCISCO BILBAO;F58220
D16;(M) QUILIN;(M) FRANCISCO BILBAO;F58220
D17;ALTO MACUL;(M) QUILIN;F58220
D17v;LAS PIRCAS; (M) QUILIN;F58220
D18;DIAGONAL LAS TORRES;(M) SANTA ISABEL;F58220
D20;DIAGONAL LAS TORRES;AV. LAS TORRES;F58220
E01;SAN JOSE DE LA ESTRELLA;(M) SANTA ROSA;00B33C
E02;(M) LO OVALLE;DIEGO PORTALES;00B33C
E03;(M) LO OVALLE ;JARDIN ALTO;00B33C
E04;AV. LA FLORIDA;(M) FRANKLIN;00B33C
E05;(M) LA CISTERNA ;(M) BELLAVISTA DE LA FLORIDA;00B33C
E06;(M) BELLAVISTA DE LA FLORIDA ;MARIA ANGELICA;00B33C
E07;(M) BELLAVISTA DE LA FLORIDA ;ROJAS MAGALLANES;00B33C
E08;DIEGO PORTALES;(M) BELLAVISTA DE LA FLORIDA;00B33C
E09;(M) ELISA CORREA;(M) SANTA ROSA;00B33C
E10;EL HUALLE;SANTA ROSA P21;00B33C
E11;DIEGO PORTALES;(M) SANTA ROSA;00B33C
E12;SANTA ROSA P18;MARIA ELENA;00B33C
E13;GABRIELA;(M) BELLAVISTA DE LA FLORIDA;00B33C
E14;SAN JOSE DE LA ESTRELLA;(M) BELLAVISTA DE LA FLORIDA;00B33C
E15c;GABRIELA;(M) BELLAVISTA DE LA FLORIDA;00B33C
E16;GABRIELA;(M) SANTA ROSA;00B33C
E17;(M) BELLAVISTA DE LA FLORIDA;LAS PERDICES;00B33C
E18;HOSPITAL PADRE HURTADO;(M) BELLAVISTA DE LA FLORIDA;00B33C
F01;VILLA PADRE HURTADO;CASAS VIEJAS;FFD400
F01c;(M) PLAZA PUENTE ALTO;CASAS VIEJAS;FFD400
F02;PIE ANDINO;SAN GERóNIMO;FFD400
F03;(M) PLAZA PUENTE ALTO;PLAZA SAN BERNARDO;FFD400
F03c;PIE ANDINO;VILLA LAS MAMIñAS;FFD400
F05;(M) LA CISTERNA;PIE ANDINO;FFD400
F06;(M) LA CISTERNA;PIE ANDINO;FFD400
F07;MALL PLAZA TOBALABA;VILLA PADRE HURTADO;FFD400
F08;VILLA PADRE HURTADO;DIEGO PORTALES;FFD400
F09;PIE ANDINO;(M) ELISA CORREA;FFD400
F10;SAN GUILLERMO;MALL PLAZA TOBALABA;FFD400
F11;LAS VIZCACHAS;PIE ANDINO;FFD400
F12;BAJOS DE MENA;(M) PLAZA PUENTE ALTO;FFD400
F12c;AV. JUANITA;(M) PLAZA PUENTE ALTO ;FFD400
F13;BAJOS DE MENA;MALL PLAZA TOBALABA;FFD400
