iLat;iLon;stops;services;route_segments;puntos
8;61;34413/34414/34415/34561/34873;10aI/10bI/10cI/10jI/10nI/10oI/10pI/11eI/11fI/17aI/17oI/17wI/17xI;0-1-2-3-4/8-9-10-11/0-1-2-3-4/0-1-2-3-11/97-98-99-100/74-75-76-77-85-86-87-88/101-102-106-107-108-109/9/10/0-1-2-3/0-1-2-8/66-72-73-74/52-57-58-59;
8;62;34408/34868/41796/42077;10aI/10bI/10cI/10jI/10kI/10lI/10mI/10nI/10oI/10pI/10tI/11eI/11fI/11qI/11rI/12aI/12bI/13sI/16kI/16vI/17aI/17oI/17wI/17xI/18pI/80hI/80qI/81sI;0/11/0/0-11/112/71/73/88-100-101/73-74/100-101-109-110/0/9-11/10-12/61/62/71/69/53/72/75/0-3/0-8/65-66-74-75/51-52-59-60/42/58/60/75;
8;63;30964/33638/33855/33856;10aI/10bI/10dI/10jI/10kI/10lI/10mI/10nI/10oI/10pI/10tI/11eI/11fI/11qI/11rI/12aI/12bI/12qI/12rI/13gI/13sI/16hI/16iI/16kI/16vI/17aI/17oI/17wI/17xI/18pI/18yI/80hI/80jI/80kI/80lI/80qI/80zI/81cI/81sI/Linea 1I/Linea 1R;12-13/0-11-12-13-17-18/0-1-5-6/11-12-13/112-113/71-72/73-74/88-89/73-74/100-101/0-1/9-10-11/10-11-12/61/62/71/69/1-2/1-2/1-2/53/1-2/1-2/72/75/3-4-5/8-9-12-13/65-66/51-52/42/22-23/58/47-48/35-36/0-1/60/66-67/44-45/75/44-45-46/26-27;
8;64;40584/40585;80lI/80zI;1-2-3/64-65-66;
8;65;40586;80lI/80zI;3/64;
9;59;;14zI;6-7;
9;60;;10bI/10cI/10oI/17oI/17wI/17xI;6-7/7-8/78-79/3-4/70-71/55-56;
9;61;;10cI;8;
9;62;33639/33854;10aI/10bI/10cI/10dI/10jI/10kI/10lI/10mI/10nI/10oI/10pI/10tI/11eI/11fI/11qI/11rI/12aI/12bI/12qI/12rI/13gI/13sI/16hI/16iI/16kI/16vI/17aI/17oI/17wI/17xI/18pI/18yI/80hI/80jI/80kI/80qI/81cI/81sI;13/18/8-9/6/13/112/71/73/88/73/100/1/11/12/61/62/71/69/2/2/2/53/2/2/72/75/5/13/65/51/42/23/58/48/36/60/45/75;
9;63;40963;10aI/10bI/10dI/10jI/10tI/12qI/12rI/13gI/16hI/16iI/17aI/17oI/18yI/80jI/80kI/80lI/80zI/81cI/Linea 1I/Linea 1R;13/18/6/13/1/2/2/2/2/2/5/13/23/48/36/0/67-68/45/44/27;
9;64;40587/40596;80lI/80zI/Linea 1I/Linea 1R;0-7-8/60-61/44/27;
9;65;40588/40594/40595/40962;80lI/80zI;3-4-5-6-7/61-62-63-64;
10;57;42954;14hI/14tI/14uI/14zI;1-2-3/78-79/59-60-66-67-68/1-2-3-10-11;
10;58;42953/42955/42979/42983;14hI/14tI/14uI/14zI;3/78/59-60-61-65-66/3-4-5-9-10-11;
10;59;42982;14uI/14zI;61-63-64-65/5-6-7-9;
10;60;42980/42981/43080/43082;14uI/14zI;61-62-63/7-8-9;
10;61;;10aI/10bI/10cI/10dI/10jI/10kI/10lI/10mI/10nI/10oI/10pI/10tI/11eI/11fI/11qI/11rI/12aI/12bI/12qI/12rI/13gI/13sI/16hI/16iI/16kI/16vI/17aI/17oI/17wI/17xI/18pI/18yI/80hI/80jI/80kI/80qI/81cI/81sI;13/18/9/6/13/112/71/73/88/73/100/1/11/12/61/62/71/69/2/2/2/53/2/2/72/75/5/13/65/51/42/23/58/48/36/60/45/75;
10;62;33640/33853;10aI/10bI/10cI/10dI/10jI/10kI/10lI/10mI/10nI/10oI/10pI/10tI/11eI/11fI/11qI/11rI/12aI/12bI/12qI/12rI/13gI/13sI/16hI/16iI/16kI/16vI/17aI/17oI/17wI/17xI/18pI/18yI/80hI/80jI/80kI/80qI/81cI/81sI;13/18/9/6/13/112/71/73/88/73/100/1/11/12/61/62/71/69/2/2/2/53/2/2/72/75/5/13/65/51/42/23/58/48/36/60/45/75;
10;64;40593;80lI/80zI/Linea 1I/Linea 1R;8/60/44/27;
11;57;42956;14hI/14tI/14uI/14zI;0-1/79-80/68-69/0-1;
11;58;42952/42957/42958;14hI/14tI/14uI/14zI;0-3-4-5-6-7-8/73-74-75-76-77-78-80-81/54-55-56-57-58-59-69-70/11-12-13-14-15-16-17;
11;59;;14hI/14tI/14uI/14zI;5-6/75-76/56-57/13-14;
11;61;33641/33852;10aI/10bI/10cI/10dI/10jI/10kI/10lI/10mI/10nI/10oI/10pI/10tI/11eI/11fI/11qI/11rI/12aI/12bI/12qI/12rI/13gI/13sI/16hI/16iI/16kI/16vI/17aI/17oI/17wI/17xI/18pI/18yI/80hI/80jI/80kI/80qI/81cI/81sI;13/18/9/6/13/112/71/73/88/73/99-100/1/11/12/60-61/61-62/70-71/68-69/2/2/2/52-53/2/2/71-72/74-75/5/13/64-65/50-51/41-42/23/57-58/48/36/59-60/45/74-75;
11;64;40597/40598;80lI/80zI/Linea 1I/Linea 1R;8-9-10/57-58-59-60/42-43-44/27-28-29;
12;57;;14hI/14tI/14uI/14zI;8/73/54/17;
12;58;42950/42951;14hI/14tI/14uI/14zI;6-7-8/73-74-75/54-55-56/15-16-17;
12;60;33643/33850;10aI/10bI/10cI/10dI/10jI/10kI/10lI/10mI/10nI/10oI/10pI/10tI/11eI/11fI/11qI/11rI/12aI/12bI/12qI/12rI/13gI/13sI/16hI/16iI/16kI/16vI/17aI/17oI/17wI/17xI/18pI/18yI/80hI/80jI/80kI/80qI/81cI/81sI;13/18/9/6/13/112/71/73/88/73/99/1/11/12/60/61/70/68/2/2/2/52/2/2/71/74/5/13/64/50/41/23/57/48/36/59/45/74;
12;61;33642/33851;10aI/10bI/10cI/10dI/10jI/10kI/10lI/10mI/10nI/10oI/10pI/10tI/11eI/11fI/11qI/11rI/12aI/12bI/12qI/12rI/13gI/13sI/16hI/16iI/16kI/16vI/17aI/17oI/17wI/17xI/18pI/18yI/80hI/80jI/80kI/80qI/81cI/81sI;13/18/9/6/13/112/71/73/88/73/99/1/11/12/60/61/70/68/2/2/2/52/2/2/71/74/5/13/64/50/41/23/57/48/36/59/45/74;
12;63;;80lI/80zI/Linea 1I/Linea 1R;10/57/42/29;
12;64;40599/40600/40601/40602;80lI/80zI/Linea 1I/Linea 1R;10/57/42/29;
13;57;42946/42947/42948/42949;14hI/14tI/14uI/14zI;8-9-10-11-12/69-70-71-72-73/50-51-52-53-54/17-18-19-20-21;
13;58;;14hI/14tI/14uI/14zI;9-10/71-72/52-53/18-19;
13;59;;10nI;88;
13;60;33644/33849;10aI/10bI/10cI/10dI/10jI/10kI/10lI/10mI/10nI/10oI/10pI/10tI/11eI/11fI/11qI/11rI/12aI/12bI/12qI/12rI/13gI/13sI/16hI/16iI/16kI/16vI/17aI/17oI/17wI/17xI/18pI/18yI/80hI/80jI/80kI/80qI/81cI/81sI;13/18/9/6/13/112/71/73/88/73/99/1/11/12/60/61/70/68/2/2/2/52/2/2/71/74/5/13/64/50/41/23/57/48/36/59/45/74;
13;63;40603/40604/40605;80lI/80zI/Linea 1I/Linea 1R;10-11/56-57/41-42/29-30;
14;56;42893/42894/42945;14hI/14tI/14uI/14zI;12/69/50/21;
14;57;;14hI/14tI/14uI/14zI;12/69/50/21;
14;59;33645/33848;10aI/10bI/10cI/10dI/10jI/10kI/10lI/10mI/10nI/10oI/10pI/10tI/11eI/11fI/11qI/11rI/12aI/12bI/12qI/12rI/13gI/13sI/16hI/16iI/16kI/16vI/17aI/17oI/17wI/17xI/18pI/18yI/80hI/80jI/80kI/80qI/81cI/81sI;13/18/9/6/13/112/71/73/88/73/99/1/11-12/12-13/60/61/70/68/2/2/2-3/52/2-3/2-3/71/74/5-6/13-14/64/50/41/23/57/48/36/59/45/74;
14;60;;10aI/10bI/10cI/10dI/10jI/10kI/10lI/10mI/10oI/10pI/10tI/11eI/11fI/11qI/11rI/12aI/12bI/12qI/12rI/13gI/13sI/16hI/16iI/16kI/16vI/17aI/17oI/17wI/17xI/18pI/18yI/80hI/80jI/80kI/80qI/81cI/81sI;13/18/9/6/13/112/71/73/73/99/1/11/12/60/61/70/68/2/2/2/52/2/2/71/74/5/13/64/50/41/23/57/48/36/59/45/74;
14;61;40607/40608;80lI/80zI/Linea 1I/Linea 1R;11/56/41/30;
14;62;40606;80lI/80zI/Linea 1I/Linea 1R;11/56/41/30;
14;63;;80lI/80zI/Linea 1I/Linea 1R;11/56/41/30;
15;55;42892/42895/42896/42943;14hI/14tI/14uI/14zI;13-14-15/67-68/48-49/22-23-24;
15;56;42891/42944;14hI/14tI/14uI/14zI;12-13/68-69/49-50/21-22;
15;58;33846;10aI/10bI/10cI/10dI/10jI/10kI/10lI/10mI/10nI/10oI/10pI/10tI/11eI/11fI/11qI/11rI/12aI/12bI/12qI/12rI/13gI/13sI/16hI/16iI/16kI/16vI/17aI/17oI/17wI/17xI/18pI/18yI/80hI/80jI/80kI/80qI/81cI/81sI;13/18/9/6/13/112/71/73/88/73/99/1/12/13/60/61/70/68/2/2/3/52/3/3/71/74/6/14/64/50/41/23/57/48/36/59/45/74;
15;59;33646/33847;10aI/10bI/10cI/10dI/10jI/10kI/10lI/10mI/10nI/10oI/10pI/10tI/11eI/11fI/11qI/11rI/12aI/12bI/12qI/12rI/13gI/13sI/16hI/16iI/16kI/16vI/17aI/17oI/17wI/17xI/18pI/18yI/80hI/80jI/80kI/80qI/81cI/81sI;13/18/9/6/13/112/71/73/88/73/99/1/12/13/60/61/70/68/2/2/3/52/3/3/71/74/6/14/64/50/41/23/57/48/36/59/45/74;
15;60;;80lI/80zI/Linea 1I/Linea 1R;11/56/41/30;
15;61;40609/40961;80lI/80zI/Linea 1I/Linea 1R;11/56/41/30;
16;55;42887/42888/42889;14hI/14tI/14uI/14zI;15-16-17/64-65-66-67/45-46-47-48/24-25-26;
16;58;33647/33648/33845;10aI/10bI/10cI/10dI/10jI/10kI/10lI/10mI/10nI/10oI/10pI/10tI/11eI/11fI/11qI/11rI/12aI/12bI/12qI/12rI/13gI/13sI/16hI/16iI/16kI/16vI/17aI/17oI/17wI/17xI/18pI/18yI/80hI/80jI/80kI/80qI/81cI/81sI;13/18/9/6/13/112/71/73/88/73/99/1/12/13/60/61/70/68/2-3/2-3/3/52/3/3/71/74/6/14/64/50/41/23/57/48-49/36-37/59/45-46/74;
16;59;40611;80lI/80zI/Linea 1I/Linea 1R;11-12/55-56/40-41/30-31;
16;60;30962/40610;80lI/80zI/Linea 1I/Linea 1R;11/56/41/30;
17;55;42890/42898;14hI/14tI/14uI/14zI;17-18/63-64/44-45/26-27;
17;56;42885/42886/42897;14hI/14tI/14uI/14zI;18-19/62-63/43-44/27-28;
17;57;33650/33844;10aI/10bI/10cI/10dI/10jI/10kI/10lI/10mI/10nI/10oI/10pI/10tI/11eI/11fI/11qI/11rI/12aI/12bI/12qI/12rI/13gI/13sI/14hI/14tI/14uI/14zI/16hI/16iI/16kI/16vI/17aI/17oI/17wI/17xI/18pI/18yI/80hI/80jI/80kI/80qI/81cI/81sI;14/19/10/7/14/111/70/72/87/72/98/2/12/13/59/60/69/67/3/3/3/51/19-20-21/60-61-62/41-42-43/28-29-30/3/3/70/73/6/14/63/49/40/24/56/49/37/58/46/73;
17;58;33649/40612/40960;10aI/10bI/10cI/10dI/10jI/10kI/10lI/10mI/10nI/10oI/10pI/10tI/11eI/11fI/11qI/11rI/12aI/12bI/12qI/12rI/13gI/13sI/16hI/16iI/16kI/16vI/17aI/17oI/17wI/17xI/18pI/18yI/80hI/80jI/80kI/80lI/80qI/80zI/81cI/81sI/Linea 1I/Linea 1R;13-14/18-19/9-10/6-7/13-14/111-112/70-71/72-73/87-88/72-73/98-99/1-2/12/13/59-60/60-61/69-70/67-68/3/3/3/51-52/3/3/70-71/73-74/6/14/63-64/49-50/40-41/23-24/56-57/49/37/12/58-59/55/46/73-74/40/31;
17;59;;80lI/80zI/Linea 1I/Linea 1R;12/55/40/31;
18;57;33842/33843/34854;10aI/10bI/10cI/10dI/10jI/10kI/10lI/10mI/10nI/10oI/10pI/10tI/11eI/11fI/11qI/11rI/12aI/12bI/12qI/12rI/13gI/13sI/14hI/14tI/14uI/14zI/16hI/16iI/16kI/16vI/17aI/17oI/17wI/17xI/18pI/18yI/80hI/80jI/80kI/80lI/80qI/80zI/81cI/81sI/Linea 1I/Linea 1R;14-15/19-20-21/10-11/7-8/14-15/110-111/69-70/71-72/86-87/70-71-72/97-98/2-3/12-13/13-14/58-59/59-60/68-69/65-66-67/3-4/3-4-5/3-4/50-51/21-22-23-24/57-58-59-60/37-38-39-40-41/30-31-32/3-4/3-4/69-70/72-73/6-7-8-9/14-15/61-62-63/48-49/38-39-40/24-25-26/55-56/49-50/37-38-39-40-41/12/57-58/55/46-47-48/71-72-73/40/31;
18;58;40620;80lI/80zI/Linea 1I/Linea 1R;12/55/40/31;
19;56;33653/33841;10aI/10cI/10dI/10jI/10kI/10lI/10mI/10nI/10pI/10tI/11eI/11fI/11qI/11rI/12aI/12qI/13gI/13sI/14hI/14tI/16hI/16iI/16kI/16vI/17oI/17xI/80hI/80jI/80kI/80qI/Linea 1I/Linea 1R;15/11/8/15/108-109-110/67-68-69/69-70-71/84-85-86/95-96-97/3/13/14/56-57-58/57-58-59/66-67-68/4/4/48-49-50/24/56-57/4/4/67-68-69/70-71-72/15/46-47-48/55/50/41/55-56-57/40/31;
19;57;30961/33651/33652/34430/34431/34852/34853;10aI/10bI/10cI/10dI/10jI/10kI/10lI/10mI/10nI/10oI/10pI/10tI/11eI/11fI/11qI/11rI/12aI/12bI/12qI/12rI/13gI/13sI/14hI/14tI/14uI/14zI/16hI/16iI/16kI/16vI/17aI/17oI/17wI/17xI/18pI/18yI/80hI/80jI/80kI/80lI/80qI/80zI/81cI/81sI/Linea 1I/Linea 1R;15/21-22-23/11/8/15/110/69/71/86/68-69-70/97/3/13/14/58/59/68/63-64-65/4/5-6-7/4/50/24/57/35-36-37/32-33-34/4/4/69/72/9-10-11/15/61/48/38/26-27-28/55/50/41/12-13-14/57/54-55/48-49-50/69-70-71/40/31;
