code;name;latitude;longitude;services
33775;Paicaví - Gral Bonilla;-36.79903664;-73.05932985;10k-10l-10m-10n-10o-10p-11q-11r-13s-14t-16k-16v-20l-20v-20w-30c-40g-42w-50s-57y-70k-80h-80q-80z-B02
33776;Paicaví - Calle Nueva;-36.80180666;-73.05620012;10k-10l-10m-10n-10o-10p-11q-11r-13s-14t-16k-16v-20l-20v-20w-30c-40g-42w-50s-57y-70k-80h-80q-80z-B02
33777;Paicaví - Ongolmo;-36.80484738;-73.05419537;10k-10l-10m-10n-10o-10p-11q-11r-13s-14t-16k-16v-20l-20v-20w-30c-40g-42w-50s-57y-70k-80h-80q-80z-B02
33778;Paicaví - Manuel Gutierrez;-36.80721951;-73.05264454;10k-10l-10m-10n-10o-10p-11q-11r-13s-14t-16k-16v-20l-20v-20w-30c-40g-42w-50s-57y-60x-60y-70k-80h-80q-80z-B02
33779;Paicaví - Paredes;-36.80917185;-73.05132844;10k-10l-10m-10n-10o-10p-11q-11r-13s-14t-16k-16v-20l-20v-20w-30c-40g-42w-50s-57y-60x-60y-70k-80h-80q-80z-B02
33780;Paicaví - Brasil / Sur;-36.81123191;-73.04998713;10k-10l-10m-10n-10o-10p-11q-11r-13s-14t-16k-16v-20l-20v-20w-30c-40g-42w-50s-57y-60x-60y-70k-80h-80q-80z-B02
33781;Paicaví - Bandera / Sur;-36.81337249;-73.04861006;10k-10l-10m-10n-10o-10p-11q-11r-13s-14t-16k-16v-20l-20v-20w-30c-40g-42w-50s-57y-60x-60y-70k-80h-80q-80z-B02
33782;Paicaví - Gral Cruz;-36.81558402;-73.04716385;10k-10l-10m-10n-10o-10p-11q-11r-13s-14t-16k-16v-20l-20v-20w-30c-40g-42w-50s-57y-60x-60y-70k-80h-80q-80z-B02
33783;Paicaví - Manuel Bulnes;-36.81747598;-73.04601715;10k-10l-10m-10n-10o-10p-11q-11r-13s-14t-16k-16v-20l-20v-20w-30c-40g-42w-50s-57y-60x-60y-70k-80h-80q-80z-B02
33784;Paicaví - Las Heras;-36.81926937;-73.04490653;10k-10l-10m-10n-10o-10p-11q-11r-13s-14t-16k-16v-20l-20v-20w-30c-40g-42w-50s-57y-60x-60y-70k-80h-80q-80z-B02
33785;Paicaví - Maipú / Poniente;-36.82151799;-73.04352642;10k-10l-10m-10n-10o-10p-11q-11r-13s-14t-16k-16v-30c-40g-41c-42w-50s-57y-60x-60y-80h-80q-80z-B02
33786;Paicaví - Barros Arana / Poniente;-36.82365885;-73.04217139;10k-10l-10m-10n-10o-10p-11q-11r-13s-14t-16k-16v-40g-41c-42w-50s-57y-80h-80q-80z-B02
33787;Bdo O'Higgins - Ongolmo;-36.82450208;-73.04247503;10k-10l-10m-10n-10o-10p-11q-11r-13s-14t-14u-16k-16v-17w-17x-18p-21b-22c-22d-22e-24m-30q-30r-31d-32e-32h-40g-42w-43t-50s-56o-57p-57y-62m-62n-70g-70h-70i-72j-72k-80h-80q-80z-90x-B02
33788;Bdo O'Higgins - Orompello;-36.82506534;-73.04383969;10k-10l-10m-10n-10o-10p-11q-11r-13s-14t-14u-16k-16v-17w-17x-18p-21b-22c-22d-22e-24m-30q-30r-31d-32e-32h-40g-42w-43t-50s-56o-57p-57y-62m-62n-70g-70h-70i-72j-72k-80h-80q-80z-90x-B02
33789;Palacio De Tribunales - Bdo O'Higgins;-36.82610704;-73.04634699;10l-10m-10n-10o-10p-11q-11r-13s-14t-14u-16k-16v-17w-17x-18p-21b-22c-22d-22e-24m-30q-30r-31d-32e-32h-40g-42w-50s-56o-57p-57y-62m-62n-70g-70h-70i-72j-72k-80h-80q-80z-90x-B02
33790;Bdo O'Higgins - Colo Colo;-36.82662374;-73.0476232;10l-10m-10n-10o-10p-11q-11r-13s-14t-14u-16k-16v-17w-17x-18p-21b-22c-22d-22e-24m-30q-30r-31d-32e-32h-40g-42w-50s-56o-57p-57y-62m-62n-70g-70h-70i-72j-72k-80h-80q-80z-90x-B02
33791;Bdo O'Higgins - Plaza De Concepción;-36.82723401;-73.04911007;10l-10m-10n-10o-10p-11q-11r-13s-14t-14u-16k-16v-17w-17x-18p-21b-22c-22d-22e-24m-30q-30r-31d-32e-32h-40g-42w-50s-56o-57p-57y-62m-62n-70g-70h-70i-72j-72k-80h-80q-80z-90x-B02
33792;Bdo. O'Higgins - Rengo;-36.82846204;-73.051994;10l-10m-10n-10o-10p-11q-11r-13s-14t-14u-16k-16v-17w-17x-18p-21b-22c-22d-22e-24m-30q-30r-31d-32e-32h-40g-42w-50s-56o-57p-57y-62m-62n-63i-70g-70h-70i-72j-72k-80h-80q-80z-90x-B02
33793;Bdo O'Higgins - Lincoyán;-36.82899688;-73.05328104;10l-10m-10n-10o-10p-11q-11r-13s-14t-14u-16k-16v-17w-17x-18p-21b-22c-22d-22e-24m-30q-30r-31d-32e-32h-40g-42w-50s-56o-57p-57y-62m-62n-63i-70g-70h-70i-72j-72k-80h-80q-80z-90x-B02
33794;Bdo O'Higgins - Angol;-36.82938077;-73.05415706;10l-10m-10n-10o-10p-11q-11r-13s-14t-14u-16k-16v-17w-17x-18p-21b-22c-22d-22e-24m-30q-30r-31d-32e-32h-40g-42w-50s-50u-56o-57p-57y-62m-62n-63i-70g-70h-70i-72j-72k-80h-80q-80z-90x-B02
33795;Bdo O'Higgins - Pedro Villa;-36.82971004;-73.05500085;10k-10l-10m-10n-10o-10p-11q-11r-13s-14t-14u-16k-16v-17w-17x-18p-21b-22c-22d-22e-24m-30q-30r-31d-32e-32h-40g-42f-42w-50u-56o-57p-57y-62m-62n-63i-70g-70h-70i-72j-72k-80h-80q-80z-90x-B02
33796;Bdo O'Higgins - Serrano;-36.83087619;-73.05741561;13s
33797;Barrio Cívico - Bdo O'Higgins;-36.83129549;-73.05880656;10k-10l-10m-10n-10o-10p-11q-11r-13s-14t-14u-16k-16v-17w-17x-18p-72j-72k-80h-80q-80z-B02
33798;Andres Bello;-36.83426577;-73.05745321;10k-10l-10m-10n-10o-10p-11q-11r-12a-12b-13s-14t-14u-16k-16v-17w-17x-18p-60z-72j-72k-80h-80q-80z-81s
33799;Pedro De Valdivia - Rancagua / Ponniente;-36.83644246;-73.05607499;10k-10l-10m-10n-10o-10p-12a-12b-13s-14t-14u-18p
