punto_id;punto_name;punto_lat;punto_lon
1814;ALBERTO RAMIREZ;-33.50987833;-70.73271285
1815;NEGRO JOSE;-33.464848;-70.751373
1816;HUGO Y ANJELI;-33.423447;-70.531555
1817;TIENDA UPA!-SHELL  (F.118);-33.48147385;-70.55800118
1818;TIENDA UPA!-SHELL  (F.134);-33.45785059;-70.57225069
1819;ERBI - CERRILLOS;-33.4918576;-70.71477101
1820;CAMILO;-33.410249;-70.636476
1821;LA ESQUINA;-33.511639;-70.698662
1822;SARITA;-33.487541;-70.686646
1823;VANIA;-33.52075729;-70.67978923
1824;DONDE GUS;-33.3551173;-70.7179197
1825;MARY ;-33.40487409;-70.6979986
1826;BABY OFERTAS;-33.57872301;-70.64929875
1827;JABES CHILE LTDA;-33.60775451;-70.57326431
1828;NYN;-33.61998518;-70.59602948
1829;MACARENA;-33.4263339;-70.65425448
1830;EL BASTY;-33.550862;-70.627601
1831;FALA EMMA;-33.51442881;-70.56058861
1832;TIENDA UPA!-SHELL  (F.153);-33.4639335;-70.64900101
1833;CAMENCITA;-33.50936131;-70.77697542
1834;NATANAEL;-33.52210025;-70.78580864
1835;CHRISTOPHER 1;-33.60833166;-70.59241751
1836;MINIMARKET;-33.4966584;-70.74433196
1837; LA ESKINA;-33.46907606;-70.73387264
1838;ACCARDI;-33.570006;-70.6093
1839;ENTRETENIMIENTOS SIGUENZA (S);-33.43952493;-70.70045682
1840;CIBER EL PELON;-33.42610271;-70.69690042
1841;KIOSCO;-33.46690546;-70.59863057
1842;TELISIA;-33.47148711;-70.69069912
1843;LOS RAMIREZ;-33.41681984;-70.7320213
1844;LA FORTALEZA;-33.53053563;-70.58702098
1845;MI NONI;-33.47164666;-70.562932
1846;PEDRO MARIN;-33.40495214;-70.7052627
1847;SAN MAURICIO;-33.39729143;-70.72677291
1848;PLAZA EVENTOS;-33.414788;-70.659617
1849;DAINITA MASCOTAS;-33.36076462;-70.51215311
1850;MY FAMILY;-33.3722076;-70.67907465
1851;KIOSCO LA QUEBRADA;-33.401393;-70.51971
1852;LAS DELICIAS DE SUS MASCOTAS;-33.515991;-70.698387
1853;PAOLITA;-33.58014957;-70.6880321
1854;PATRICIA;-33.52261963;-70.65712938
1855;ANDREITA;-33.38418761;-70.64252969
1856;LA TETE;-33.50576501;-70.67870957
1857;MATTY;-33.47833606;-70.64200499
1858;PUNTO FIJO;-33.461896;-70.533547
1859;DONDE LA FRAN;-33.48075629;-70.54093732
1860;LP INTERNET;-33.55788786;-70.58096764
1861;LOS AROMOS;-33.40689372;-70.69902588
1862;RULOS;-33.46249475;-70.56334484
1863;BABY;-33.42043135;-70.74533037
1864;LUBEMIJO;-33.4520679;-70.73089604
1865;JUANA URRUTIA;-33.52381423;-70.63291454
1866;VICTORIA;-33.43935232;-70.62323409
1867;EL JIMEÑO;-33.44165843;-70.62521664
1868;LA GOTITA DEL PORTEÑO;-33.43072255;-70.72449685
1869;BLANCO;-33.49729278;-70.72419319
1870;PUERTO CAFÉ;-33.43697928;-70.63549849
1871;LA NANA;-33.36622699;-70.73514854
1872;JOSE (C);-33.48639225;-70.68091101
1873;ELIANA;-33.59364797;-70.62541468
1874;PRINCIPITO;-33.5628816;-70.5995871
1875;LA LICORERA;-33.38562933;-70.55943262
1876;JUAN VILLAGRA;-33.566192;-70.673604
1877;CHIKYTITA;-33.425671;-70.686668
1878;DONDE LA TIA EMILIANA;-33.364513;-70.711922
1879;BELEN;-33.478657;-70.673019
1880;KIOSKO GENITO;-33.491685;-70.623372
1881;RICARDO MELLA;-33.495495;-70.744034
