paradero;servicio;distancia
33683;10dI;16500
33684;10dI;16619
33685;10dI;16995
33686;10dI;17153
33687;10dI;17284
33688;10dI;17403
33689;10dI;17488
33690;10dI;17674
33691;10dI;17760
33692;10dI;17897
33693;10dI;18278
33694;10dI;18497
33695;10dI;18731
33696;10dI;18990
33697;10dI;19249
33698;10dI;19527
33699;10dI;19791
33700;10dI;20039
33701;10dI;20460
33702;10dI;21046
33703;10dI;22102
33704;10dI;23365
33705;10dI;24214
33706;10dI;24482
33713;10dI;24759
33714;10dI;25006
32633;10dI;25338
32641;10dI;25841
32642;10dI;26213
32643;10dI;26503
32644;10dI;26841
32645;10dI;27201
32646;10dI;27539
32647;10dI;28037
32648;10dI;28328
32649;10dI;28637
32650;10dI;28971
32651;10dI;29266
32652;10dI;29712
32653;10dI;30186
32654;10dI;30597
32655;10dI;30819
32656;10dI;31390
32657;10dI;31523
32658;10dI;31806
32659;10dI;32010
32660;10dI;32241
41942;10dI;33412
42045;10dI;33932
42046;10dI;34297
42047;10dI;34534
42048;10dI;34835
42049;10dI;35057
42050;10dI;35296
42051;10dI;35686
42052;10dI;35795
42053;10dI;36154
42054;10dI;36326
42055;10dI;36719
42056;10dI;36920
42057;10dI;37660
41796;10jI;1
34413;10jI;198
34414;10jI;273
34415;10jI;551
41937;10jI;1109
42272;10jI;1534
34560;10jI;1566
34561;10jI;1774
33856;10jI;2122
33638;10jI;2389
33639;10jI;2767
33640;10jI;2985
33641;10jI;3409
33642;10jI;3813
33643;10jI;4030
33644;10jI;4450
33645;10jI;4677
33646;10jI;5056
33647;10jI;5343
33649;10jI;5681
33650;10jI;6057
33651;10jI;6476
33652;10jI;6601
33653;10jI;6846
33654;10jI;7072
33655;10jI;7446
33656;10jI;7704
33657;10jI;8143
33658;10jI;8501
33659;10jI;9402
33660;10jI;10057
33661;10jI;10638
33663;10jI;11774
33664;10jI;12094
33665;10jI;12310
33666;10jI;12942
33667;10jI;13386
33668;10jI;13564
33669;10jI;13906
33670;10jI;14123
33671;10jI;14572
33672;10jI;14895
33673;10jI;15122
33674;10jI;15387
33675;10jI;15561
33676;10jI;15820
33677;10jI;16065
33678;10jI;16146
33679;10jI;16272
33680;10jI;16407
33681;10jI;16528
33682;10jI;16788
33683;10jI;17056
33684;10jI;17175
33685;10jI;17552
33686;10jI;17710
33687;10jI;17841
33688;10jI;17960
34586;10jI;18057
41939;10jI;18150
41940;10jI;18457
36053;10jI;18593
33692;10jI;18695
33693;10jI;19076
33694;10jI;19294
33695;10jI;19528
33696;10jI;19787
33697;10jI;20046
33698;10jI;20324
33699;10jI;20588
33700;10jI;20836
33701;10jI;21258
33702;10jI;21844
33703;10jI;22900
33704;10jI;24162
33705;10jI;25012
33706;10jI;25280
33713;10jI;25557
33714;10jI;25803
32633;10jI;26136
32641;10jI;26639
32642;10jI;27010
32643;10jI;27300
32644;10jI;27638
32645;10jI;27999
32646;10jI;28337
32647;10jI;28834
32648;10jI;29125
32649;10jI;29434
32650;10jI;29769
32651;10jI;30063
32652;10jI;30509
32653;10jI;30983
32654;10jI;31394
32655;10jI;31617
32656;10jI;32187
32657;10jI;32320
32658;10jI;32603
32659;10jI;32807
32660;10jI;33038
41942;10jI;34209
41943;10jI;34820
32682;10jI;35330
32683;10jI;35618
32684;10jI;35879
32685;10jI;36029
32686;10jI;36275
32751;10jI;36522
32752;10jI;36663
32753;10jI;36905
32737;10jI;37663
32693;10jI;37886
41948;10kI;0
41949;10kI;121
41950;10kI;312
41951;10kI;968
41952;10kI;1063
41953;10kI;1285
41954;10kI;3468
41955;10kI;3979
41956;10kI;5974
41957;10kI;6722
41958;10kI;6921
41959;10kI;7331
41960;10kI;7507
41961;10kI;7851
41962;10kI;7966
41963;10kI;8332
41964;10kI;8587
41965;10kI;8791
41966;10kI;9089
41967;10kI;9308
41968;10kI;9728
41969;10kI;10479
32499;10kI;10931
40354;10kI;11068
40355;10kI;11244
40356;10kI;11368
40357;10kI;11602
32518;10kI;12132
32519;10kI;12278
32520;10kI;12452
32521;10kI;12639
32522;10kI;12829
32523;10kI;13212
32524;10kI;13567
32525;10kI;13782
32526;10kI;13990
32527;10kI;14192
32528;10kI;14418
32529;10kI;14919
32530;10kI;15343
32531;10kI;15656
32532;10kI;15991
32533;10kI;16317
32534;10kI;16606
32535;10kI;17062
32536;10kI;17407
32537;10kI;17765
32538;10kI;18100
32539;10kI;18376
32540;10kI;18608
