101
Quilicura,Lunes a Viernes,17:30,21:15

314
Plaza Italia,Lunes a Viernes,05:00,00:30
Plaza Italia,Sábado,05:15,00:30
Plaza Italia,Domingo y Festivos,05:15,00:30
Lo Marcoleta,Sábado,05:50,01:10
Lo Marcoleta,Lunes a Viernes,05:40,01:10
Lo Marcoleta,Domingo y Festivos,05:50,01:10

314e
Plaza Italia,Lunes a Viernes,06:30,08:20
Plaza Italia,Lunes a Viernes,16:30,19:18
Lo Marcoleta,Lunes a Viernes,07:30,09:15
Lo Marcoleta,Lunes a Viernes,17:30,20:18

315e
Plaza Italia,Domingo y Festivos,05:30,22:45
Plaza Italia,Sábado,05:30,22:45
Plaza Italia,Lunes a Viernes,05:00,23:45
Rigoberto Jara,Sábado,05:45,22:54
Rigoberto Jara,Domingo y Festivos,05:45,22:45
Rigoberto Jara,Lunes a Viernes,05:40,23:48

316e
(M) Cal Y Canto,Lunes a Viernes,18:00,18:30
San Ignacio,Lunes a Viernes,07:00,07:30

321
Lo Sierra,Lunes a Viernes,05:30,22:55
Lo Sierra,Sábado,05:30,22:55
Lo Sierra,Domingo y Festivos,05:45,22:42
(M) Lo Ovalle,Sábado,05:30,22:43
(M) Lo Ovalle,Domingo y Festivos,05:45,22:42
(M) Lo Ovalle,Lunes a Viernes,05:30,22:45

322
Jardin Alto,Lunes a Viernes,05:50,23:40
Jardin Alto,Sábado,06:10,23:40
Jardin Alto,Domingo y Festivos,06:30,23:40
(M) Bellavista De La Florida,Domingo y Festivos,06:30,23:40
(M) Bellavista De La Florida,Lunes a Viernes,05:30,23:40
(M) Bellavista De La Florida,Sábado,05:50,23:40

323
La Loma,Sábado,06:00,23:55
La Loma,Lunes a Viernes,05:45,23:55
La Loma,Domingo y Festivos,07:00,23:55
(M) Bellavista De La Florida,Domingo y Festivos,06:45,23:45
(M) Bellavista De La Florida,Lunes a Viernes,05:30,23:46
(M) Bellavista De La Florida,Sábado,05:45,23:45

345
Alameda,Sábado,05:30,00:30
Alameda,Lunes a Viernes,05:30,00:30
Alameda,Domingo y Festivos,05:30,00:30
Lo Espejo,Sábado,05:30,00:30
Lo Espejo,Domingo y Festivos,05:30,00:30
Lo Espejo,Lunes a Viernes,05:30,00:30

346N

348
(M) Lo Ovalle,Lunes a Viernes,05:30,23:45
(M) Lo Ovalle,Domingo y Festivos,05:30,23:40
(M) Lo Ovalle,Sábado,05:30,23:45
Rinconada,Lunes a Viernes,05:30,23:45
Rinconada,Domingo y Festivos,06:00,23:40
Rinconada,Sábado,05:45,23:45

350
Rinconada,Lunes a Viernes,05:30,23:30
Ciudad Satelite,Lunes a Viernes,05:30,23:30

350c

385
Florida Center,Domingo y Festivos,06:15,00:30
Florida Center,Sábado,06:00,00:30
Florida Center,Lunes a Viernes,05:30,00:30
Villa Francia,Lunes a Viernes,00:30,00:30
Villa Francia,Sábado,06:15,00:30
Villa Francia,Domingo y Festivos,06:30,00:30

401
