id;id_station_measure
147202-Lte;31
147457-Lte;32
147458-Lte;32
147713-Lte;33
1491743-Lte;13
1496106-Wcdma;119
1496107-Wcdma;119
1496108-Wcdma;120
1496128-Wcdma;121
1510182-Lte;23
1510183-Lte;23
15105-Lte;77
15106-Lte;77
1511514-Wcdma;1
1511517-Wcdma;1
1511839-Wcdma;88
1511845-Wcdma;88
1511849-Wcdma;87
1511855-Wcdma;87
1516639-Wcdma;1
1516645-Wcdma;1
1517929-Wcdma;86
1517935-Wcdma;86
1532447-Lte;84
1532448-Lte;84
1532960-Lte;38
15360-Lte;83
15361-Lte;83
1551910-Lte;111
1552166-Lte;112
1552167-Lte;112
1552421-Lte;114
1552422-Lte;114
1552423-Lte;113
1552677-Lte;115
1552678-Lte;115
1552679-Lte;116
1552933-Lte;116
1552934-Lte;117
1553189-Lte;118
1553190-Lte;118
1560870-Lte;27
1560871-Lte;27
1561126-Lte;26
1561382-Lte;25
1561639-Lte;24
1562150-Lte;10
1562406-Lte;9
1562662-Lte;8
1562663-Lte;8
1562919-Lte;7
1563174-Lte;6
1563430-Lte;5
1563679-Lte;27
1563935-Lte;26
1564191-Lte;25
1564447-Lte;24
1564703-Lte;23
1564959-Lte;10
1565215-Lte;9
1565727-Lte;7
1566239-Lte;5
1566721-Lte;13
1567007-Lte;25
1570591-Lte;25
1570847-Lte;24
1577235-Wcdma;19-5
1577236-Wcdma;5
1577241-Wcdma;5
1577242-Wcdma;5
1577245-Wcdma;4
1577247-Wcdma;4
1577252-Wcdma;3-4
1577253-Wcdma;4
1577625-Wcdma;112
1577627-Wcdma;110
15813377-Lte;80
15817729-Lte;81
1581927-Wcdma;84
1581932-Wcdma;84
1582025-Wcdma;3
1582031-Wcdma;3
1582107-Wcdma;83
1582113-Wcdma;83
1582165-Wcdma;2
1582171-Wcdma;2
1582201-Wcdma;109
1582616-Wcdma;84
158465-Lte;21
158724-Lte;24
1588535-Wcdma;82
1588541-Wcdma;79-82
1590575-Wcdma;80
1590745-Wcdma;81
1590750-Wcdma;81
1591575-Wcdma;85
1591577-Wcdma;85
1591580-Wcdma;85
159233-Lte;25
1625148-Lte;136
1625150-Lte;135
1625152-Lte;134
1625154-Lte;134
1625155-Lte;133
1625156-Lte;133
1625661-Lte;132
1625662-Lte;131
1625663-Lte;131
1625664-Lte;130
1625666-Lte;130
1625667-Lte;129
1626155-Lte;35
1626172-Lte;127
1626175-Lte;127
1626176-Lte;126
1626178-Lte;125
1626179-Lte;125
1626180-Lte;124
1626181-Lte;124
1626183-Lte;123
1626685-Lte;122
1626687-Lte;121
1626688-Lte;120
1626690-Lte;120
1626691-Lte;119
1626692-Lte;119
1627517-Wcdma;82
1627531-Wcdma;109
1628623-Wcdma;2
1629565-Wcdma;82
1629697-Wcdma;83
1629915-Wcdma;112
1629916-Wcdma;111
1629917-Wcdma;110
1631657-Wcdma;84
1631834-Wcdma;110
1631839-Wcdma;109
1632274-Wcdma;110
1633482-Wcdma;84
1636909-Wcdma;84
163841-Lte;23
164097-Lte;21-22
164459-Wcdma;82
1647720-Wcdma;128
1647721-Wcdma;128
1647722-Wcdma;127
1647723-Wcdma;128
1647725-Wcdma;127
1647726-Wcdma;127
1647727-Wcdma;126
1647728-Wcdma;126
1647729-Wcdma;127
1647730-Wcdma;126
1647731-Wcdma;126
1647732-Wcdma;125
1647733-Wcdma;125
1647734-Wcdma;124
1647735-Wcdma;125
1647736-Wcdma;125
1647737-Wcdma;123
1647738-Wcdma;124
1647739-Wcdma;123
1647740-Wcdma;123
1647741-Wcdma;124
1647742-Wcdma;123
1647743-Wcdma;123
1647744-Wcdma;122
1647745-Wcdma;122
1647746-Wcdma;121
1647748-Wcdma;122
1647749-Wcdma;121
1647750-Wcdma;121
1647751-Wcdma;120
1647752-Wcdma;120
1647753-Wcdma;121
1647754-Wcdma;120
1647755-Wcdma;120
1647756-Wcdma;119
1647757-Wcdma;119
1647758-Wcdma;119
1647759-Wcdma;119
1698734-Wcdma;28
1698737-Wcdma;28
1698739-Wcdma;92
1698740-Wcdma;92
1698742-Wcdma;92
1698743-Wcdma;92
1698745-Wcdma;30
1698746-Wcdma;30
1698748-Wcdma;30
1698749-Wcdma;30
1698750-Wcdma;31
1698751-Wcdma;31
1698752-Wcdma;31
1698753-Wcdma;31
1698755-Wcdma;31
1698756-Wcdma;32
1698757-Wcdma;32
1698760-Wcdma;32
1698761-Wcdma;32
1698763-Wcdma;33
1698764-Wcdma;33
1698766-Wcdma;33
1698767-Wcdma;33
1749506-Lte;108
1749507-Lte;108
1753-Gsm;76
1770870-Wcdma;66
1771830-Wcdma;64
1772183-Wcdma;68
1782491-Wcdma;74
1783298-Wcdma;64
1783300-Wcdma;64
1783459-Wcdma;76-77
1783460-Wcdma;77
1783509-Wcdma;66-67
1783511-Wcdma;67
1783679-Wcdma;75
1784133-Wcdma;65
1784134-Wcdma;65-66
1784135-Wcdma;66
1785918-Wcdma;64
1785919-Wcdma;64
1785920-Wcdma;64
1786693-Wcdma;74
1786733-Wcdma;66
1786735-Wcdma;67
1787266-Wcdma;75
1787407-Wcdma;76-77
1787408-Wcdma;77
1788076-Wcdma;65
1788077-Wcdma;66
1791159-Wcdma;76
1791160-Wcdma;76
1791162-Wcdma;76
1791163-Wcdma;76
1793024-Wcdma;74
1793026-Wcdma;74
1793027-Wcdma;74
1793029-Wcdma;74
1793031-Wcdma;64
1793032-Wcdma;74
1798889-Wcdma;76
1804415-Wcdma;68
1804417-Wcdma;68
1804420-Wcdma;68-69
1808795-Wcdma;68-69
1808798-Wcdma;68-69
1813922-Wcdma;76-77
1813923-Wcdma;77
1813971-Wcdma;74
1813986-Wcdma;66
1813988-Wcdma;67
1814207-Wcdma;75
1814574-Wcdma;65
1814575-Wcdma;65
1818403-Wcdma;75
1818406-Wcdma;75
1844588-Wcdma;78
1844595-Wcdma;78
1844596-Wcdma;49
1848030-Wcdma;76
1848032-Wcdma;76
1848642-Wcdma;77
1848645-Wcdma;77
1852-Gsm;60
187883-Wcdma;105
188074-Wcdma;106
1886443-Wcdma;86
1886446-Wcdma;86
188673-Lte;55
188929-Lte;56
1890264-Wcdma;78
1890935-Wcdma;76
1895800-Wcdma;76
1895802-Wcdma;77
1895819-Wcdma;77
1898502-Wcdma;49
1907885-Wcdma;52
1907891-Wcdma;52
1907905-Wcdma;54
1907911-Wcdma;54
1907915-Wcdma;55
1907921-Wcdma;55
1908517-Wcdma;116
191756-Wcdma;101
1919197-Wcdma;132
1919202-Wcdma;132
1919205-Wcdma;133
1919206-Wcdma;133
1919207-Wcdma;134
1919211-Wcdma;136
192940-Wcdma;112-41
192941-Wcdma;41
19402-Gsm;13-14
19403-Gsm;14
19404-Gsm;14
19410-Gsm;13
19411-Gsm;13
19412-Gsm;13
19414-Gsm;12
19415-Gsm;12
19416-Gsm;11-12
19417-Gsm;11
19478-Gsm;94
19479-Gsm;93-94
19480-Gsm;94-95
19481-Gsm;94-95
19482-Gsm;95
19483-Gsm;95-96
19545-Gsm;25
19546-Gsm;25-26
19547-Gsm;24-25
19548-Gsm;26
19549-Gsm;26
1954945-Wcdma;133
1954946-Wcdma;133
1954947-Wcdma;134
19550-Gsm;25
19551-Gsm;27
19552-Gsm;27
1956875-Wcdma;116
1956876-Wcdma;117
19581-Gsm;50
19582-Gsm;50
1958333-Wcdma;116
196007-Wcdma;101
20103-Gsm;58
201850880-Wcdma;1
20192-Gsm;104-61
20231-Gsm;40
204036-Lte;20
204037-Lte;118
20461-Gsm;83
205313-Lte;59
205577-Lte;73
205826-Lte;104
207618-Lte;105
209409-Lte;107
2101313-Wcdma;15-7
2101314-Wcdma;7
2101319-Wcdma;7
2101323-Wcdma;91
2101485-Wcdma;10
2101491-Wcdma;10-11
2101494-Wcdma;9
2101495-Wcdma;9
2101500-Wcdma;9
2101501-Wcdma;9
2101504-Wcdma;8
2101509-Wcdma;20
2101510-Wcdma;8
2101514-Wcdma;6
2101519-Wcdma;14-6
2101520-Wcdma;6
2101633-Wcdma;92
2101643-Wcdma;90
2101653-Wcdma;89
21190-Gsm;38
21372-Gsm;36
214530-Lte;74
214535-Lte;64
214536-Lte;74
214785-Lte;58
214786-Lte;58
215041-Lte;104
215042-Lte;104
215297-Lte;103
2158086-Wcdma;92
215809-Lte;106
215810-Lte;106
215811-Lte;106
216065-Lte;62
21623-Gsm;17
21625-Gsm;17
21626-Gsm;16
21628-Gsm;16
21629-Gsm;16
21630-Gsm;15
21631-Gsm;14-15
21632-Gsm;15
21638-Gsm;96
21639-Gsm;96
21662-Gsm;35
21663-Gsm;35
21664-Gsm;35
21695-Gsm;97-98
21696-Gsm;96-97
22091-Gsm;1-2
22130-Gsm;65
22262-Gsm;68
2237069-Wcdma;48
2237070-Wcdma;48
2237088-Wcdma;46
2237089-Wcdma;46
2237090-Wcdma;46
2237091-Wcdma;46
2237092-Wcdma;46
2237093-Wcdma;46
2237098-Wcdma;47
2237101-Wcdma;47
22429-Gsm;70
2243655-Wcdma;79
22483-Gsm;66
22526-Gsm;80
226306-Lte;48
226561-Lte;43
226817-Lte;46
226818-Lte;46
227073-Lte;47
227074-Lte;47
227329-Lte;44
227585-Lte;45
227586-Lte;45
22871-Gsm;53
23121-Gsm;38-40
23151-Gsm;57
23161857-Lte;115
23161859-Lte;114
23162112-Lte;116
23162880-Lte;118
23162881-Lte;20
23191-Gsm;71-72
231938-Lte;84
23254-Gsm;2
23262-Gsm;3
23294721-Lte;119
23294722-Lte;119
23294976-Lte;120
23295232-Lte;121
23295488-Lte;122
23295744-Lte;123
23296257-Lte;125
23296513-Lte;126
23296768-Lte;127
23297024-Lte;128
23297280-Lte;129
23297537-Lte;130
23297792-Lte;131
23298048-Lte;132
23298560-Lte;134
23298817-Lte;135
23299072-Lte;136
23384066-Lte;60
23390210-Lte;67
23395584-Lte;75
23405834-Lte;64
23424000-Lte;39
2360487-Wcdma;11-37
2360490-Wcdma;11-37
2360491-Wcdma;11
2360494-Wcdma;11
2360497-Wcdma;13
2360498-Wcdma;13-5
2360507-Wcdma;16-20
2360508-Wcdma;16-20
2360510-Wcdma;16
2360511-Wcdma;96
2360514-Wcdma;96
2360521-Wcdma;35
2360527-Wcdma;94
2360537-Wcdma;93-94
2360647-Wcdma;37
2360652-Wcdma;37
2360655-Wcdma;37
2360667-Wcdma;12
2360668-Wcdma;12
2360673-Wcdma;12
2360674-Wcdma;12
2360675-Wcdma;12
2360677-Wcdma;14-24
2360678-Wcdma;14
2360679-Wcdma;14
2360683-Wcdma;14
2360684-Wcdma;14
2360685-Wcdma;14
2360687-Wcdma;15
2360689-Wcdma;15
2360693-Wcdma;15-25
2360694-Wcdma;15
2360695-Wcdma;15
2360747-Wcdma;95-96
2361092-Wcdma;36
2361250-Wcdma;36
2361251-Wcdma;36-93
2361253-Wcdma;36
2361254-Wcdma;36
2361637-Wcdma;17-18
2361638-Wcdma;16-17
2361644-Wcdma;17
2361645-Wcdma;17
2362030-Wcdma;34
2362033-Wcdma;34
2362428-Wcdma;37
2362737-Wcdma;96-97
2362968-Wcdma;37
2362970-Wcdma;38
2363017-Wcdma;38
2363020-Wcdma;38
2363023-Wcdma;38
2365063-Wcdma;32
2365064-Wcdma;32
2365070-Wcdma;33
2365073-Wcdma;33
2365074-Wcdma;34
2367297-Wcdma;35
2367301-Wcdma;35
2377917-Wcdma;123
2377919-Wcdma;124
2377924-Wcdma;125
2377925-Wcdma;125
2377928-Wcdma;126
2377929-Wcdma;127
2377933-Wcdma;126-127
2377934-Wcdma;128
23823-Gsm;8
23825-Gsm;8
23826-Gsm;7-8
23827-Gsm;7-8
23828-Gsm;6-7
23829-Gsm;6-7
23831-Gsm;6
23832-Gsm;40
23835-Gsm;41
23837-Gsm;42
23838-Gsm;42
23839-Gsm;42
23842-Gsm;66-86
23844-Gsm;86-87
23845-Gsm;87
23846-Gsm;87-88
23848-Gsm;88
23849-Gsm;87-88
23854-Gsm;90
23855-Gsm;90
23856-Gsm;90
23858-Gsm;91
23859-Gsm;91
23860-Gsm;91
23880-Gsm;54
23881-Gsm;53
23882-Gsm;54
23884-Gsm;54-55
23886-Gsm;56
23887-Gsm;56
23888-Gsm;56
23889-Gsm;55
23891-Gsm;57
23892-Gsm;57
23893-Gsm;57
24069-Gsm;77
2413737-Wcdma;127
2413738-Wcdma;127-128
2413739-Wcdma;128
2413758-Wcdma;126
2413759-Wcdma;127
2413767-Wcdma;124
2413769-Wcdma;125
2413779-Wcdma;125
2413787-Wcdma;123
2413788-Wcdma;123
2413789-Wcdma;124
2416118-Wcdma;37
2420140-Wcdma;96-97
2420160-Wcdma;95
2420180-Wcdma;94
