iLat;iLon;stops;services;route_segments;puntos
69;63;PG120/PG121/PG122/PG134/PG135/PG136/PG141/PG1658/PG1665/PG171;205I/205R/205cR/206I/206R/206cI/206cR/207I/207R/207cR/207eI/207eR/209I/209R/209cR/212I/212R/216I/216R;20/6/5-15/16-17/9-10/7-8/9-10/18-19/11/10-19-20/18-19/4/19-20/17/17-27/24-25/7/7/35-36;1146
69;67;;F25eI/F25eR;26/19;
69;68;PF1012/PF1013/PF1139/PF164/PF166/PF267/PF268/PF317/PF781/PF827;225I/225R/325I/325R/E12I/E13I/E13R/E15cI/E15cR/F05I/F05R/F25eI/F25eR;75-76/0-1-3-4-5/2-3-4/45-46-47/3-55/2-3-4/27-28-29/2-3-4/17-18-19/17-18/23-24-25/26/19;1098
69;69;PF1135/PF137/PF316/PF794/PF869;225R/325I/325R/E12I/E13I/E13R/E15cI/E15cR/E16I/F05I/F05R;1-2-3/1-2/47-48-49/1-2-56/1-2/29-30-31/1-2/19-20-21/1-2-3-4/18-19-20/21-22-23;1305
69;70;PF269/PF270/PF314/PF315;325R/E12I/E13R/E15cR/E16I/F05I/F05R;49/56-57/31/21/4/20/21;594/959/1435/1775
69;71;PF313/PF52/PF53/PF54/PF55/PF65/PF66/PF67/PF68;204I/204R/204eI/204eR/224I/224R/224cI/224cR/E16I/F05I/F05R;29-30-31/2-3-4-5-6/29-30-31/2-3-4-5-6/31-32-33/2-3-4-5-6/16-17-18/2-3-4-5-6/4-5/20-21/18-19-20-21;
69;74;;226I;25;1741
69;75;34/PF105/PF122/PF123/PF125/PF127/PF128/PF168/PF170/PF272/PF310/PF311/PF744/PF745/PF746/PF748/PF758/PF759/PF760/PF770/PF824;205I/205R/205cR/210I/210R/213eI/213eR/221eI/221eR/226I/226R/E16I/E16R/F01I/F01R/F05I/F05R/F06I/F06R/F08I/F08R/F09I/F09R/F13I/F13R/F14I/F14R/F15I/F15R/F20I/F20R/F24I/F27I/F27R/L4I/L4R;21-22/4-5/3-4-16-17/25/4/17/20/2/28/25/7/6-7/18-19/4-5/15-16/22-23-24-25-26-27/12-13-14-15-16-17/33-34-35-36-37-38/9-10-11-12-13-14/4-5-6-7-8-9/14-15-16-17-18-19-20/12-13/0-1/26/7/7-8-9-10-11-12/15-16-17-18-19-20/26/8-9-10-11/13-14-15-16-17-18/28-29-30-31-32-33-34/22-23-24-25-26/4-5-6-7-8-9/7-8-9-10-11-12/19/1;1995
69;76;PF167/PF171/PF273/PF350/PF444/PF445;F05I/F05R/F06I/F06R/F08I/F08R/F14I/F14R/F15R/F20I/F20R/F24I/F27I/F27R;27-28-29/12/38-39-40/9/9-10-11/14/12-13-14/15/6-7-8/18-19-20/28/22/9-10-11/7;605/1369/1570
69;77;PF1006/PF1007/PF274/PF402/PF413/PF486/PF814;F05I/F05R/F06I/F06R/F08I/F08R/F10I/F10R/F14I/F14R/F15R/F20I/F20R/F24I/F25I/F25R/F27I/F27R;29-30/11-12/40-41/8-9/11-12/13-14/27/4/14-15/14-15/2-3-4-5-6/20-21/27-28/21-22-28/25/24/11-12/6-7;602
69;78;PF26/PF27/PF39/PF475/PF476/PF477/PF487/PF488;712I/712R/F06I/F06R/F08I/F08R/F10I/F10R/F15R/F20I/F20R/F24I/F25I/F25R/F27I/F27R;24-25/67-68/41/8/12/13/26-27/4-5/2-3/21-22/26-27/21-28-29-30/24-25/24-25/12/6;72/609/2072
69;79;PF28/PF37/PF38/PF435/PF436/PF452/PF453/PF454/PF874;210vI/210vR/712I/712R/F06I/F06R/F08I/F08R/F09I/F09R/F24I/F27I/F27R;26-27/6-7/25/67/41-42/7-8/12/13/7-8/3-4/21-30/12/6;1133/1754
69;80;PF288/PF29/PF30/PF35/PF359/PF36/PF397/PF398;712I/712R/F07R/F08I/F08R/F19I/F24I/F27I/F27R;25/67/17-18-24-25/12/13/16-17/21-30/12/6;1055
69;81;PF287/PF31/PF34/PF360/PF361/PF396;712I/712R/F07R/F08I/F08R/F19I/F24I/F27I/F27R;25-26/66-67/16-17-23-24-25/12-13/12-13/15-16/20-21-30-31/12-13/5-6;
69;82;PF1066/PF293/PF32/PF33/PF4/PF5/PF6/PF829;102I/102R/104I/104R/114I/114R/712I/712R/F07R/F08I/F08R/F19I/F24I/F27I/F27R;37-38-39-41-42/0-1/21-22-23-25-26/0-1/18-19-20-22-23/0-1/26-27-28/64-65-66/23/13-14-15/10-11-12/12-13-14-15-20-21-22-23/19-20-31-32/13-14-15-16/2-3-4-5;
69;83;PF1067/PF1095;102I/104I/114I/F19I/F24I/F27I/F27R;41/25/22/12/18-19/16-17/1-2;
69;84;PF1096/PF1097;F27I/F27R;17/1;
69;85;PF1099;F27I/F27R;17-18/0-1;
69;86;;F27I/F27R;18/0;
