Codigo;Abreviacion;Nombre;Linea;Dias;Apertura Estacion;Apertura Boletaria;Cierre boleteria;Cierre Estacion;Destino 1;Primer Tren D1;Ultimo tren D1;Destino 2;Primer Tren D2;Ultimo tren D2;Expreso
57;MM;Manuel Montt;L1;Domingo;8:00;8:00;22:30;23:00;San Pablo;8:05;23:11;Los Dominicos;8:02;23:08;
74;PV;Pedro de Valdivia;L1;Domingo;8:00;8:00;22:30;23:06;San Pablo;8:04;23:10;Los Dominicos;8:04;23:10;
41;LEN;Los Leones;L1;Domingo;8:00;8:00;22:30;23:05;San Pablo;8:02;23:08;Los Dominicos;8:05;23:11;
93;TB;Tobalaba;L1;Domingo;8:00;8:00;22:30;23:04;San Pablo;8:01;23:07;Los Dominicos;8:00;23:12;
32;GO;El Golf;L1;Domingo;8:00;8:00;22:30;23:05;San Pablo;8:00;23:06;Los Dominicos;8:02;23:14;
3;AL;Alcántara;L1;Domingo;8:00;8:00;22:30;23:07;San Pablo;8:04;23:04;Los Dominicos;8:03;23:15;
27;EM;Escuela Militar;L1;Domingo;8:00;8:00;22:30;23:08;San Pablo;8:03;23:03;Los Dominicos;8:04;23:16;
58;MQ;Manquehue;L1;Domingo;8:00;8:00;22:30;23:10;San Pablo;8:01;23:01;Los Dominicos;8:00;23:18;
33;HM;Hernando de Magallanes;L1;Domingo;8:00;8:00;22:30;23:12;San Pablo;8:05;22:59;Los Dominicos;8:02;23:20;
40;LD;Los Dominicos;L1;Domingo;8:00;8:00;22:30;23:14;San Pablo;8:04;22:58;Los Dominicos;-;-;
39;LC;La Cisterna;L2;Lunes a Viernes;5:40;6:00;23:00;23:33;La Cisterna;-;-;Vespucio Norte;5:41;23:05;VERDE/ROJA
28;EP;El Parrón;L2;Lunes a Viernes;5:40;6:00;23:00;23:31;La Cisterna;5:57;23:36;Vespucio Norte;5:43;23:06;VERDE
47;LO;Lo Ovalle;L2;Lunes a Viernes;5:40;6:00;23:00;23:29;La Cisterna;5:55;23:34;Vespucio Norte;5:41;23:08;VERDE/ROJA
16;CN;Ciudad del Niño;L2;Lunes a Viernes;5:40;6:00;23:00;23:28;La Cisterna;5:53;23:33;Vespucio Norte;5:42;23:09;ROJA
19;DE;Departamental;L2;Lunes a Viernes;5:45;6:00;23:00;23:26;La Cisterna;5:52;23:31;Vespucio Norte;5:47;23:11;VERDE
53;LV;Lo Vial;L2;Lunes a Viernes;5:45;6:00;23:00;23:25;La Cisterna;5:51;23:30;Vespucio Norte;5:45;23:12;ROJA
90;SM;San Miguel;L2;Lunes a Viernes;5:45;6:00;23:00;23:24;La Cisterna;5:49;23:28;Vespucio Norte;5:46;23:13;VERDE
45;LN;El Llano;L2;Lunes a Viernes;5:45;6:00;23:00;23:23;La Cisterna;5:48;23:27;Vespucio Norte;5:48;23:15;ROJA
29;FRA;Franklin;L2;Lunes a Viernes;5:50;6:00;23:00;23:21;La Cisterna;5:52;23:26;Vespucio Norte;5:53;23:16;VERDE/ROJA
82;RO;Rondizzoni;L2;Lunes a Viernes;5:50;6:00;23:00;23:20;La Cisterna;5:51;23:24;Vespucio Norte;5:51;23:18;VERDE
70;PQ;Parque O`Higgins;L2;Lunes a Viernes;5:50;6:00;23:00;23:18;La Cisterna;5:55;23:22;Vespucio Norte;5:52;23:19;ROJA
94;TO;Toesca;L2;Lunes a Viernes;5:55;6:00;23:00;23:17;La Cisterna;5:58;23:21;Vespucio Norte;5:58;23:21;VERDE
