id;id_station_measure
1317127-Wcdma;WOM;23
1317131-Wcdma;Claro;22
1317137-Wcdma;Claro;22
1317201-Wcdma;WOM;51
1319455-Lte;Movistar;40
1319456-Lte;Movistar;40
1319461-Lte;Movistar;40
1319462-Lte;Movistar;40
1322790-Lte;Movistar;101
1322911-Wcdma;Claro;26
1322917-Wcdma;Claro;26
1322921-Gsm;Movistar;27
1322927-Wcdma;Claro;27
1322927-Wcdma;WOM;27
1324596-Wcdma;Movistar;69
1325654-Wcdma;Movistar;70
13263617-Lte;Entel;63
1327648-Lte;Movistar;104
1328671-Lte;Movistar;74
1328672-Lte;Movistar;74
1328673-Lte;Movistar;64
1329382-Wcdma;Movistar;69
1333274-Wcdma;Movistar;71
1333274-Wcdma;WOM;71
1333275-Wcdma;Movistar;71
1333277-Wcdma;Movistar;71
1333278-Wcdma;Movistar;71
1333302-Wcdma;Movistar;72
1333303-Wcdma;Movistar;72
1333304-Wcdma;Movistar;72
1333305-Wcdma;Movistar;72
1333307-Wcdma;Movistar;72
1333307-Wcdma;WOM;72
1337183-Wcdma;Movistar;69
1337184-Wcdma;Movistar;69
1341118-Wcdma;Movistar;70
134193-Wcdma;Claro;101
134194-Wcdma;Claro;102
134197-Wcdma;Claro;102
134233-Wcdma;Claro;41
134237-Wcdma;Claro;41
134238-Wcdma;Claro;41
134238-Wcdma;WOM;41
134239-Wcdma;Claro;41
134733-Wcdma;Claro;41
134736-Wcdma;Claro;42
134737-Wcdma;Claro;42
134739-Wcdma;Claro;42
134740-Wcdma;Claro;42
13486849-Lte;Entel;81
13486852-Lte;Entel;81
13487361-Lte;Entel;80
13494529-Lte;Entel;109
13494531-Lte;Entel;109
13497857-Lte;Entel;110
13497858-Lte;Entel;110
13504513-Lte;Entel;111
13504514-Lte;Entel;111
13506561-Lte;Entel;112
13506562-Lte;Entel;112
13511169-Lte;Entel;113
13514241-Lte;Entel;114
13514242-Lte;Entel;114
13514245-Lte;Entel;114
13514246-Lte;Entel;114
13515265-Lte;Entel;33
13515266-Lte;Entel;33
13521665-Lte;Entel;116
13521666-Lte;Entel;116
13523457-Lte;Entel;115
13523458-Lte;Entel;115
13523461-Lte;Entel;115
13529601-Lte;Entel;13
13529602-Lte;Entel;13
13529857-Lte;Entel;11
13529858-Lte;Entel;11
13548802-Lte;Entel;117
1355042-Wcdma;Movistar;69
13553410-Lte;Entel;118
13553411-Lte;Entel;118
1355399-Wcdma;Movistar;70
1355549-Wcdma;Movistar;70
13561857-Lte;Entel;78
13563393-Lte;Entel;72
13565953-Lte;Entel;63
13565954-Lte;Entel;63
13586433-Lte;Entel;10
135876-Wcdma;Claro;101
135886-Wcdma;Claro;101
1364262-Lte;Movistar;58
1364768-Lte;Movistar;100
1364774-Lte;Movistar;100
13649410-Lte;Entel;41
13649411-Lte;Entel;41
1365286-Lte;Movistar;66
1366048-Lte;Movistar;100
1366054-Lte;Movistar;100
1366303-Lte;Movistar;102
1366304-Lte;Movistar;102
1366305-Lte;Movistar;103
1366431-Wcdma;Movistar;70
1366434-Wcdma;Movistar;70
1366434-Wcdma;WOM;70
13701890-Lte;Entel;71
13701891-Lte;Entel;71
13706754-Lte;Entel;30
1373727-Lte;Movistar;68
1373729-Lte;Movistar;66
13750273-Lte;Entel;119
13750274-Lte;Entel;119
13750277-Lte;Entel;119
13752833-Lte;Entel;120
13752834-Lte;Entel;120
13752836-Lte;Entel;120
13755393-Lte;Entel;121
13755394-Lte;Entel;121
13755396-Lte;Entel;121
13755397-Lte;Entel;121
13760513-Lte;Entel;122
13760514-Lte;Entel;122
13768193-Lte;Entel;123
13768194-Lte;Entel;123
13773313-Lte;Entel;124
13773314-Lte;Entel;124
13778433-Lte;Entel;125
13778434-Lte;Entel;125
13783553-Lte;Entel;126
13788673-Lte;Entel;127
13788674-Lte;Entel;127
13791233-Lte;Entel;128
13791234-Lte;Entel;128
13791237-Lte;Entel;128
1379293-Wcdma;Claro;38
1379321-Wcdma;Claro;40
1379548-Wcdma;Claro;100
1379549-Wcdma;Claro;100
1379554-Wcdma;Claro;100
13796353-Lte;Entel;129
13796354-Lte;Entel;129
13796357-Lte;Entel;129
1379677-Wcdma;Claro;99
1379683-Wcdma;Claro;99
1379687-Wcdma;Claro;98
1379817-Wcdma;Claro;39
1379817-Wcdma;WOM;39
1379818-Wcdma;Claro;39
1379820-Wcdma;Claro;39
1379821-Wcdma;Claro;39
1379822-Wcdma;Claro;39
1379823-Wcdma;Claro;39
1379824-Wcdma;Claro;39
13798915-Lte;Entel;130
1379940-Wcdma;Claro;39
1379941-Wcdma;Claro;39
1379944-Wcdma;Claro;39
1379951-Wcdma;Claro;40
1379951-Wcdma;WOM;40
1379952-Wcdma;Claro;40
1379954-Wcdma;Claro;40
1379954-Wcdma;WOM;40
13801475-Lte;Entel;131
1380245-Wcdma;WOM;112
13809153-Lte;Entel;132
13809154-Lte;Entel;132
13809157-Lte;Entel;132
13811713-Lte;Entel;133
13811714-Lte;Entel;133
13821953-Lte;Entel;134
13821954-Lte;Entel;134
13824513-Lte;Entel;135
13824514-Lte;Entel;135
13834753-Lte;Entel;136
13834754-Lte;Entel;136
1388831-Lte;Movistar;103
1388832-Lte;Movistar;104
1389089-Lte;Movistar;70
139084-Wcdma;Claro;61
139087-Wcdma;Claro;61
139119-Wcdma;Claro;103
139183-Wcdma;Claro;105
139184-Wcdma;Claro;105
139186-Wcdma;Claro;105
139354-Wcdma;Claro;102
139473-Wcdma;Claro;104
139474-Wcdma;Claro;104
139475-Wcdma;Claro;104
139476-Wcdma;Claro;104
139477-Wcdma;Claro;104
139479-Gsm;Movistar;104
139480-Gsm;Movistar;104
139480-Wcdma;Claro;104
139481-Wcdma;Claro;104
139484-Gsm;Movistar;103
139484-Wcdma;Claro;102
139489-Gsm;Movistar;103
139489-Wcdma;Claro;103
1394897-Wcdma;Claro;129
1394898-Wcdma;Claro;129
1394899-Wcdma;Claro;130
1394903-Wcdma;Claro;130
1394905-Wcdma;Claro;131
13949697-Lte;Entel;27
13949698-Lte;Entel;27
13949699-Lte;Entel;26
139503-Wcdma;Claro;106
139504-Wcdma;Claro;106
139505-Wcdma;Claro;106
139507-Wcdma;Claro;106
139510-Wcdma;Claro;106
139523-Wcdma;Claro;106
1397010-Wcdma;WOM;69
1397011-Wcdma;WOM;69
1397017-Wcdma;WOM;92
1397023-Wcdma;Claro;106
139926-Wcdma;Claro;43
139927-Wcdma;Claro;43
139929-Wcdma;Claro;43
139930-Wcdma;Claro;43
139959-Wcdma;Claro;44
139966-Wcdma;Claro;45
139967-Wcdma;Claro;45
139968-Wcdma;Claro;45
139969-Wcdma;Claro;45
139970-Wcdma;Claro;45
1401440-Wcdma;Claro;46
1401449-Wcdma;Claro;28
1401453-Wcdma;Claro;33
1402399-Lte;Movistar;22
1402406-Lte;Movistar;22
1402407-Lte;Movistar;22
1402655-Lte;Movistar;96
1402662-Lte;Movistar;96
1402662-Lte;WOM;97
1402663-Lte;Movistar;96
1402911-Lte;Movistar;15
1402918-Lte;Movistar;15
1402919-Lte;Movistar;15
1403174-Lte;Movistar;20
1403175-Lte;Movistar;20
1403423-Lte;Movistar;19
1403430-Lte;Movistar;19
1403431-Lte;Movistar;19
1403679-Lte;Movistar;18
1403686-Lte;Movistar;18
1403687-Lte;Movistar;18
1403935-Lte;Movistar;17
1403942-Lte;Movistar;17
1403943-Lte;Movistar;17
1404959-Lte;Movistar;50
1404966-Lte;Movistar;50
1404967-Lte;Movistar;50
1405215-Lte;Movistar;12
1405222-Lte;Movistar;12
1405223-Lte;Movistar;12
1405471-Lte;Movistar;14
1405478-Lte;Movistar;14
1405479-Lte;Movistar;14
1405734-Lte;Movistar;13
1405735-Lte;Movistar;13
14177025-Lte;Entel;1
14177026-Lte;Entel;1
1417760-Lte;Movistar;105
1417766-Lte;Movistar;105
14179329-Lte;Entel;12
14179330-Lte;Entel;12
14179332-Lte;Entel;12
14179333-Lte;Entel;12
14196482-Lte;Entel;98
1422625-Lte;Movistar;66
1425953-Lte;Movistar;106
1426711-Lte;Movistar;1
1429029-Lte;Movistar;103
1430667-Wcdma;Claro;130
1430668-Wcdma;Claro;136
1430669-Gsm;Movistar;131
