paradas;servicios
PA543;422I-H13R
PA547;J01R-J02I-J05I-J16I-J19I
PA55;201I-214R-223I-226I-229I-271I-301I-D03I
PA551;345R-510R-516R-J02I-J05I
PA552;B26R-I17I-J02I-J05I
PA556;B28I-J02I-J05I
PA558;B28I-J02I-J05I-J16I
PA56;201I-214R-223I-226I-229I-271I-301I
PA562;B26R-I17I-J02I-J05I
PA563;B26R-I17I-J02I-J05I
PA569;I01R
PA57;201I-214R-223I-226I-229I-271I-301I-509R
PA570;I01R
PA571;I01R
PA572;I01R
PA573;113R-125I-H07I-I01R
PA574;113R-125I-345R-H07I-I01R
PA58;201I-214R-223I-226I-229I-271I-301I
PA585;518R-H13I
PA587;116I-214I
PA589;345R-511I-I18R
PA590;345R-511I
PA591;345R-I18R
PA592;345R-I18R
PA593;511R-H07I-I01R
PA594;511R-H07I-I01R
PA595;511R-H07I-I01R
PA596;511R-H07I-I01R
PA597;345R-B26R
PA598;303I-314I-315eI-406I-426I-516I-519I
PA599;109I-406I-422I-426I-507I-513I-514R-B26I-I17R-J16I-J19R
PA6;109R-406R-422R-426R-514I-B26R-B28I-J19I
PA60;201I-214R-223I-226I-229I-271I-301I
PA600;121R-402I
PA601;119R-121R
PA602;J10R
PA603;J10R
PA605;H07R-I01I
PA606;H07R-I01I
PA608;H13I
PA609;H13I
PA61;201I-214R-223I-226I-229I-271I-301I
PA610;H13I
PA611;H13I
PA612;H13I
PA613;H13I
PA614;H07R-H13I
PA615;D03I-H13I
PA617;H13R
PA618;H13R
PA619;H13R
PA62;201I-214R-223I-226I-229I-271I-301I-H13R
PA620;H13R
PA621;J03I
PA622;J03I
PA626;404I
PA627;201I-214R-223I-226I-229I-271I-509R
PA628;511I
PA629;H13R
PA63;201R-214I-223R-226R-229R-271R-301R-H06I-H12I-H13I-H14I
PA630;113R
PA633;113R
PA634;113R
PA635;113R
PA637;511R-H07I
PA638;511I-H07R-H13I
PA639;511I-H07R-H13I
PA64;201R-214I-223R-226R-229R-271R-301R-511I-D05I-D07R-H06I-H13I
PA640;514R-J19R
PA641;514R-J19R
PA642;514R-J19R
PA643;J02I-J05I
PA65;201R-214I-223R-226R-229R-271R-301R-H06I
PA652;201eI
PA654;207I-214R
PA655;I14I-I18I
PA657;401I-405I-406I-407I-412I-418I-426I-I09I-I09eI-J10I
PA658;506I-506eI-506vI-507I-507cI-510I
PA659;113R-125I-345R-H04I-H07I-I01R
PA66;201R-214I-223R-226R-229R-271R-301R-H06I
PA660;I01R
PA661;I01R
PA662;113I
PA663;205I-206I-209I
PA664;345R
PA665;301R-509I
PA666;506I-506vI-507I-507cI-510I
PA668;403I-404I-422I-481R-513I
PA67;201R-214I-223R-226R-229R-271R-301R-H06I
PA671;511I-H07R-I01I
PA672;511I
PA673;121R
PA675;113eI
PA676;H13R
PA677;345R-H07I-I01R
PA679;403R
PA68;201R-214I-223R-226R-229R-271R-301R-H06I
PA680;511I
PA681;345R
PA682;345R
PA683;511I-I14I-I18I
PA684;511I-H07R-I01I
PA685;H13R
PA686;422R-H13I
PA687;422I-H13R
PA688;422I-H13R
PA689;508R-514R
PA69;201R-214I-223R-226R-229R-271R-301R
PA690;121R
PA691;121R-345R
PA692;116I-303R-345R-422R-518R
PA693;511R-H07I-I01R
PA694;201I-214R-223I-226I-229I-271I
PA695;109R-119R-345I-511R-I18I
PA696;B26R
PA697;227I-D05R
PA698;116I-213eI-503I
PA7;109R-507R-508R-513R-514R-B26R-B28I
PA70;201R-214I-223R-226R-229R-271R-301R
PA701;J10R
PA702;J10I
PA703;J10I
PA704;I18R
PA705;546eI-B26R
PA706;E04R
PA707;B26R-I17I-J02I-J05I
PA709;422I
PA71;229R-301R
PA710;422I
PA712;511R-H07I-I01R
PA713;B26R
PA714;345R
PA715;345R
PA717;201R-214R-223R-271R
PA718;201R-271R
PA719;201R-271R
PA72;201R-223R-271R
PA720;201R-223I-271R
PA724;121I-J10R
PA725;406R-422R-426R-507R-508R-513R-B26R-B28I-J02I
PA726;119R-518R
PA727;518R
PA728;504I-518I
PA763;203I-203eI-206I-207I-207eI-214R-226I-230I
PA774;119I-408R-409I
PA78;302I-403I
PA8;406R-422R-426R-B26R
PA80;113I-125R-201eR-302R
PA81;113I-125R-201eR-302R-302eR
PA815;303I-314I-315eI
PA816;345R
PA817;119R-121R-J03I-J10I
PA818;J10R
PA819;203I-206I-385I
PA82;201eR-217eI-302R-403R
PA820;307I-307eI-404R-517I
PA821;307I-307eI-404R
PA822;508R-514R
PA823;210I-210vI-213eI-221eR-227I
PA824;D05R
PA825;D07R
PA826;E04R
PA827;H06R
PA828;H12R
PA829;H14R
PA832;511I
PA84;308I
PA86;509R
PA87;201R-214I-308R
PA88;203I-203eI-206I-214R-226I-230I-402R
PA89;307I-307eI-402R-404R-517I
PA9;109R-119R-I18I
PA91;203I-203eI-206I-207I-207eI-214R-226I-230I
PA92;203I-206I-214R-385I-424R
PA93;203I-203eI-206I-385I
PA94;203I-206I-385I
PA95;203I-203eI-206I-385I
PA96;203I-203eI-206I-385I-H06R
PA97;203I-206I-385I
PA98;203I-206I-385I
PA99;203I-203eI-206I-385I
PB1;101I-B14R
PB10;101I-107I
PB100;110I-110cI-B03I
PB1000;B07I-B08I-B11R-B13R-B18I
PB1001;429cR-B07I
PB1002;313eR-B07I
PB1003;313eR-B07I
PB1004;B07I-B12R-B12cI
PB1005;B07I-B12R-B12cI
PB1006;B05I-B07I-B12R-B12cI
PB1007;B05R
PB1008;B05R
PB1009;B05R
PB101;107I-116I-117I-117cI-272R-429cR-B05I-C06R-C18R
PB1010;B05I-B07I
PB1011;B07I
PB1012;B05R-B07I-B12I-B12cI
PB1013;B05R-B07I-B12I-B12cI
PB1014;B05R-B07I-B12I-B12cI
PB1015;313eI-B07I
PB1016;313eI-B07I
PB1017;429cI-B07I
PB1018;B07I
PB1019;B13I
PB102;107I-116I-117I-117cI-272R-429cR-B05I-C06R-C18R
PB1020;B13I
PB1021;B13I
PB1022;B13I
PB1023;B13I
PB1024;B13I
PB1025;B13I
PB1026;B13I
PB1027;B12R-B12cI-B13I
PB1028;B13I
PB1029;B13I
PB103;107I-116I-117I-117cI-272R-429cR-B05I-C06R-C18R
PB1030;B13I
PB1031;B13I
PB1032;B08I-B11R
PB1033;B08I
PB1034;B08I
PB1035;B05R-B08I-B10R-B16R
PB1036;B08I-B16R
PB1037;B08I-B16R
PB1038;B08I-B16R
PB1039;B08I-B16R
PB104;107I-116I-117I-117cI-272R-429cR-C06R-C18R
PB1040;B08I-B16R
PB1041;B08R-B16R
PB1043;B08R-B16R
PB1044;B08R-B16R
PB1045;B08R-B16R
PB1046;B08I-B16R
PB1047;B08I-B16R
PB1049;B08R-B16I
PB105;107I-116I-272R-B02I-B14I
PB1050;B08R-B16I
PB1051;B08R-B16R
PB1052;B08R-B16I
PB1053;B08R-B16I
PB1054;B08R-B16I
PB1055;B08R-B16I
PB1056;B08R
PB1057;B08R
PB1058;B08R
PB1059;303R-303eR-B08R
PB106;107I-116I-272R-B02I-B14I
PB1060;105I-109I-408eI-410eI-B03I-B09I-B20I
PB1061;105I-109I-408eI-410eI-B03I-B09I
PB1062;109I-B09I
PB1063;109I-B09I
PB1064;109I-B09I
PB1065;109I-B09I
PB1066;120I
PB1067;120I-B09I-B29R
PB1068;120I-B09I-B29R
PB1069;120I-B09I-B29R
PB107;107I-116I-712I-B02I
PB1070;120I-B09I-B29R
PB1071;120I-B09I-B29R
PB1072;120I-B09I
PB1073;B24R
PB1074;B24R
PB1075;B24R
PB1076;B17R
PB1077;B17R
PB1078;B17R
PB1079;B24R-B28I
PB108;101I-107I-B28I
PB1080;B24R-B28I
PB1083;B24I-B28I
PB1084;B24I-B28I
PB1085;B24I-B28I
PB1086;B24I-B28I
PB1087;B24I-B28I
PB1088;B24I-B28I
PB109;107R-116I-B02R
PB1091;120R-B09R-B29I
PB1092;120R-B09R-B29I
PB1093;120R-B09R-B29I
PB1094;120R-B09R-B29I
PB1095;120R-B09R-B29I
PB1096;120R-B09R-B29I
PB1097;120R-B09R-B29I
PB1098;109R-B09R
PB1099;109R-B09R
PB11;101I-107I
PB110;107R-116I-712R-B01I-B02R
PB1100;109R-B09R
PB1101;109R-B09R
PB1102;109R-B09R
PB1103;B03R-B09R-B20R
PB1105;B09R-B20R
PB1106;B05I-B10I-B12R-B12cI
