stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
168,168,Marca de posición sin título,,-33.02572756813264,-71.55520661342632,,,,,
169,169,Marca de posición sin título,,-33.02407599956142,-71.55552824034594,,,,,
170,170,Marca de posición sin título,,-33.02718778072764,-71.54889493036275,,,,,
171,171,Marca de posición sin título,,-33.02720117671102,-71.54720243819651,,,,,
172,172,Marca de posición sin título,,-33.02851509839969,-71.54378642664604,,,,,
173,173,Marca de posición sin título,,-33.02647411648405,-71.54275885496871,,,,,
174,174,Marca de posición sin título,,-33.02901388433045,-71.54354942118007,,,,,
175,175,Marca de posición sin título,,-33.02892648631995,-71.54337351939583,,,,,
176,176,Marca de posición sin título,,-33.03087032631509,-71.54402360813702,,,,,
177,177,Marca de posición sin título,,-33.03139721063642,-71.54449783277062,,,,,
178,178,Marca de posición sin título,,-33.03338262623461,-71.54549370168806,,,,,
179,179,Marca de posición sin título,,-33.03568054761855,-71.54541720576418,,,,,
180,180,Marca de posición sin título,,-33.03665811825626,-71.54393697731233,,,,,
181,181,Marca de posición sin título,,-33.04472776091587,-71.54069740188739,,,,,
182,182,Marca de posición sin título,,-33.04650892616613,-71.53893605210526,,,,,
183,183,Marca de posición sin título,,-33.04635710285736,-71.53908556835187,,,,,
184,184,Marca de posición sin título,,-33.06057245581811,-71.53752995488925,,,,,
185,185,Marca de posición sin título,,-33.06190539025911,-71.53500902781846,,,,,
186,186,Marca de posición sin título,,-33.060311306156,-71.53322991423157,,,,,
187,187,Marca de posición sin título,,-33.05813931571399,-71.53309703363773,,,,,
188,188,Marca de posición sin título,,-33.05654069119459,-71.53366118458651,,,,,
189,189,Marca de posición sin título,,-33.04122476748816,-71.52099911423012,,,,,
190,190,Marca de posición sin título,,-33.03311112929939,-71.53346572001995,,,,,
191,191,Marca de posición sin título,,-33.03042572316213,-71.53588700560859,,,,,
192,192,Marca de posición sin título,,-33.03064396014015,-71.53640014806838,,,,,
193,193,Marca de posición sin título,,-33.02977334429249,-71.53919790828797,,,,,
194,194,Marca de posición sin título,,-33.02929151247414,-71.53973949507602,,,,,
195,195,Marca de posición sin título,,-33.02864288872965,-71.54204497136516,,,,,
196,196,Marca de posición sin título,,-33.02741119962742,-71.54806296920837,,,,,
