stop_code;stop_name;stop_lat;stop_lon
PE344;San Jorge;-33.55869674;-70.57578772
PE345;Bacteriol”gico;-33.55897115;-70.58043529
PE346;Pasaje 4;-33.55938218;-70.5835558
PE347;Tinguiririca;-33.55027948;-70.58663162
PE348;Bacteriol”gico;-33.5500527;-70.58321321
PE349;Central Oriente;-33.54845182;-70.58287167
PE35;Los Retamos;-33.51039236;-70.58306096
PE350;Avenida Trinidad -oriente;-33.54755991;-70.58280155
PE351;Avenida Vicu—a Mackenna;-33.54706049;-70.58729437
PE353;Metalita;-33.54706067;-70.59149474
PE354;Monte Trinidad;-33.54696;-70.59371154
PE355;Marigen;-33.54691784;-70.59558477
PE356;Valentina Leppe;-33.54686661;-70.59815789
PE357;Italia;-33.54681449;-70.60079561
PE358;Avenida Santa Raquel;-33.5467461;-70.60329301
PE359;Isla Robinson Crusoe;-33.54585259;-70.61721285
PE36;Diagonal Los Casta—os;-33.51058087;-70.57959785
PE360;JoaquÕn Edwards Bello;-33.54440054;-70.62411076
PE361;El Almendral;-33.54394838;-70.62626701
PE362;Alvear;-33.52708688;-70.64451455
PE363;Rivadavia;-33.52751972;-70.64179854
PE364;Industria;-33.52794491;-70.63897468
PE365;Avenida Santa Rosa;-33.52832092;-70.63577299
PE366;Huasco;-33.52894311;-70.63509556
PE367;Los Vilos;-33.52834329;-70.63065873
PE368;El Tabo;-33.52788329;-70.62723673
PE369;La Serena;-33.52752066;-70.62463493
PE37;Cerro Cal¡n;-33.51471306;-70.55952942
PE370;Mercury;-33.52629449;-70.60803
PE371;Nueva Uno;-33.52525066;-70.60716005
PE372;Lia Aguirre;-33.52334729;-70.6072002
PE373;Avenida Santa Raquel;-33.52295685;-70.60323067
PE374;Avenida Vicu—a Mackenna;-33.52294631;-70.60056022
PE375;Concepci”n;-33.52277343;-70.5957872
PE376;Pasaje Los Carrera;-33.52272293;-70.5941066
PE377;Avenida Colombia;-33.52268149;-70.59031581
PE378;Juan De Pineda;-33.52265194;-70.58769885
PE379;GarcÕa Hurtado De Mendoza;-33.52261464;-70.58427422
PE38;Volc¡n Osorno;-33.51616997;-70.55913568
PE380;Avenida M…xico;-33.52265222;-70.58274597
PE381;Avenida La Florida;-33.52260727;-70.57920276
PE382;Las Mercedes;-33.52258263;-70.57759801
PE383;Santa Delia;-33.52253216;-70.57589588
PE384;Pasaje Santa Natalia;-33.522478;-70.57164188
PE385;Alicahue;-33.52246788;-70.56959594
PE386;Orompello;-33.52243222;-70.56528843
PE387;Ongolmo;-33.52241243;-70.56328539
PE388;Pasaje JardÕn Alto;-33.5224029;-70.56189625
PE389;Carlos Luis Gonz¡lez;-33.52435117;-70.56115603
PE39;Avenida Departamental;-33.51195977;-70.5604597
PE390;Ger”nimo De Alderete;-33.52615124;-70.56072537
PE391;Antofagasta;-33.52912329;-70.56032652
PE392;De La Foresta;-33.53258377;-70.55909648
PE393;Lago Chungar¡;-33.53576263;-70.55731209
PE395;Pasaje Antofagasta;-33.53313897;-70.56084018
PE396;Tamarugal;-33.53476665;-70.56049253
PE397;Mami—a;-33.53571397;-70.55831272
PE398;Parina;-33.53613168;-70.55665104
PE399;El Hualle Sur;-33.53572315;-70.55399458
PE4;Nueva 1;-33.50946412;-70.59636097
PE40;Paseo Los Maranjos;-33.51795062;-70.55738037
PE400;Las Nalcas Sur;-33.5351215;-70.54947171
PE402;Pasaje Sanchez Fontecilla;-33.53562343;-70.55403587
PE403;Pasaje JardÕn Alto;-33.53610205;-70.55685512
PE408;Santa Julia;-33.53239552;-70.55900696
PE409;Antofagasta;-33.52964827;-70.56017443
PE41;Paseo Los Maranjos;-33.51751514;-70.55543458
PE410;Ger”nimo De Alderete;-33.52673018;-70.56058503
PE411;Carlos Luis Gonz¡lez;-33.52494964;-70.5608976
PE412;Avenida Walker MartÕnez;-33.52265177;-70.56147004
PE413;Ongolmo;-33.52227374;-70.56284144
PE414;Orompello;-33.5223016;-70.56492
PE415;Diagonal Santa Irene;-33.52231882;-70.56854883
PE416;El LlaverÕo;-33.52233853;-70.57126251
PE417;Pasaje Central;-33.52239448;-70.57537656
PE418;Avenida La Florida;-33.52233261;-70.57811029
PE419;Presidente Melgarejo;-33.52254561;-70.58332546
PE42;Avenida Tobalaba;-33.5179168;-70.55791809
PE421;Pasaje Via Lactea;-33.52256624;-70.5880526
PE422;Avenida Colombia;-33.52258118;-70.58970025
PE423;Pasaje Los Carrera;-33.52264664;-70.59372835
PE424;Baltazar;-33.52266829;-70.59624825
PE425;Juan Ram”n Jim…nez;-33.52278738;-70.59959902
PE426;Doctor Luis Calvo Mackenna;-33.52281904;-70.60203298
PE427;Nueva Uno;-33.52331843;-70.60733964
PE428;Juan Xxiii;-33.52523968;-70.60731059
PE429;Punta Arenas;-33.52614107;-70.60942693
PE43;Los Casta—os;-33.51213581;-70.57859259
PE430;El Tabo;-33.52773356;-70.62696473
PE431;Los Vilos;-33.52817709;-70.63026797
PE432;Avenida Santa Rosa;-33.52881774;-70.6350286
PE433;Industria;-33.5277441;-70.63847557
PE434;Rivadavia;-33.52734783;-70.64116
PE435;Alvear;-33.52691386;-70.64396213
PE436;San Francisco;-33.52607167;-70.64693954
PE439;John Kennedy;-33.54953468;-70.57575058
PE44;Punitaqui;-33.51395298;-70.57540654
PE440;Avenida Trinidad -oriente;-33.54771396;-70.57567444
PE441;Avenida M…xico;-33.54756925;-70.57287155
PE442;Avenida La Florida;-33.54765819;-70.56870506
PE443;Pasaje Pto Octay;-33.54359026;-70.571604
PE444;Avenida M…xico;-33.54355441;-70.57442503
PE445;Enrique Olivares;-33.53991103;-70.57513434
PE446;Rojas Magallanes;-33.53630039;-70.5768134
PE447;Los Alacalufes;-33.53379739;-70.57790941
PE448;Santa Julia;-33.53261065;-70.57832935
PE449;Perpetua Freire;-33.53034672;-70.57906351
PE45;Volc¡n Llaima;-33.51430712;-70.57166635
PE450;Ger”nimo De Alderete;-33.52801885;-70.57986108
PE451;QuinchamalÕ;-33.52569945;-70.58070183
PE452;Avenida Walker MartÕnez;-33.52282641;-70.58252304
PE454;El Cabildo;-33.52019172;-70.59947586
PE455;Monterrey;-33.52576132;-70.58079986
PE456;Ger”nimo De Alderete;-33.52774535;-70.58009299
PE457;Tabunco;-33.5291321;-70.57954752
PE458;Santa Julia;-33.53219233;-70.57860172
PE459;Los Alacalufes;-33.53364178;-70.57808965
PE46;Volc¡n Hornopir…n;-33.51402391;-70.56982022
PE460;Rojas Magallanes;-33.53573645;-70.57719083
PE461;Enrique Olivares;-33.53951813;-70.57553645
PE462;Santa Amalia;-33.54347817;-70.57474674
PE463;Avenida La Florida;-33.5437867;-70.57033672
PE464;Sevilla;-33.52097176;-70.63367503
PE465;Los Vilos;-33.5207467;-70.63159281
PE466;9 Oriente ;-33.52049725;-70.62930557
PE467;La Serena;-33.52027311;-70.62714801
PE468;Avenida Las Industrias;-33.51990302;-70.6237388
PE469;La Castrina;-33.52028469;-70.62076353
PE47;Volc¡n Calbuco;-33.51421211;-70.56777806
PE470;Ma—io;-33.52105723;-70.61892604
PE471;Laurel;-33.51832308;-70.61698019
PE472;Alerce ;-33.51648829;-70.61591247
PE473;Punta Arenas;-33.51520674;-70.61321864
PE474;Punta Arenas;-33.51524986;-70.61129229
PE475;Avenida Vicu—a Mackenna Pte;-33.51356466;-70.60911862
PE476;Avenida Vicu—a Mackenna Ote;-33.51302515;-70.60691238
PE477;Almahue;-33.51278638;-70.60585291
PE478;El Mirador;-33.51252976;-70.60408257
PE479;Froil¡n Roa;-33.51169388;-70.60177404
PE48;Volc¡n Lastarria;-33.51476817;-70.56588247
PE481;San Carlos De Ancud;-33.51559519;-70.59856225
PE482;Avenida Am…rico Vespucio;-33.51758528;-70.59529355
PE483;Sebastopol;-33.51480727;-70.61411557
PE484;Alerce ;-33.51606608;-70.61578619
PE485;Proyectada;-33.51854497;-70.61725348
PE486;Central;-33.52101243;-70.61890367
PE487;La Castrina;-33.52039837;-70.62034575
PE488;Avenida Las Industrias;-33.51977455;-70.62321959
PE489;La Serena;-33.52014367;-70.62670415
PE490;8 Oriente ;-33.52046638;-70.62959569
PE491;Los Vilos;-33.52060939;-70.63106266
PE492;Membrillar;-33.52084276;-70.63319887
PE493;Avenida Santa Rosa;-33.52113813;-70.6361007
PE494;Nagasaki;-33.51906444;-70.5924783
PE495;Okinawa;-33.51984037;-70.58893949
PE496;Alonso De Ercilla;-33.51981669;-70.5872702
PE497;Juan Carlos;-33.51980028;-70.58503041
PE498;Avenida La Florida;-33.51975155;-70.58178872
PE499;PaicavÕ;-33.52030418;-70.56669286
PE5;Avenida Am…rico Vespucio;-33.50970792;-70.59283436
PE50;Volc¡n Huesqui;-33.5151107;-70.56232501
PE500;Orompello;-33.51930141;-70.5654043
PE501;Lientur;-33.51820776;-70.5620254
PE502;Avenida Tobalaba;-33.5180909;-70.55841648
PE503;Las Araucarias;-33.51665349;-70.55223228
PE504;MarÕa Cristina;-33.51456728;-70.54886826
PE505;Santa Berta;-33.51598566;-70.54722475
PE506;San Francisco;-33.51963364;-70.54685904
PE507;MarÕa Cristina;-33.51969568;-70.54838903
PE508;Paseo Las Bellotas;-33.51980696;-70.55030752
PE509;Paseo De La Plaza;-33.51852135;-70.55214722
PE51;Avenida Tobalaba;-33.51535105;-70.55971313
PE510;MarÕa Ang…lica;-33.51679237;-70.55194407
PE511;Calle 1;-33.51729447;-70.5550538
PE512;Orompello;-33.51812113;-70.56174391
PE513;Orompello;-33.51840056;-70.56461287
PE514;PaicavÕ;-33.52022276;-70.56671292
PE515;Alicahue;-33.52216651;-70.56918134
PE517;Laura;-33.51959731;-70.58186128
PE518;Real Alicante;-33.5196541;-70.58517848
PE519;Alonso De Ercilla;-33.5196785;-70.58679394
PE52;Pasaje Providencia;-33.51523865;-70.56004487
PE520;Okinawa;-33.51969943;-70.58867851
PE521;Nagasaki;-33.51917886;-70.5919959
PE522;Avenida Am…rico Vespucio;-33.51787809;-70.59426534
PE523;RodrÕguez Velasco;-33.52372454;-70.5982596
PE524;Vicente Vald…s;-33.52638278;-70.59702717
PE525;Arag”n;-33.53002765;-70.59551129
PE526;Los Pioneros;-33.53377266;-70.59392175
PE527;Amparo Calaf;-33.53395104;-70.59477574
PE528;Avenida Vicu—a Mackenna;-33.53580058;-70.59331285
PE529;Estados Unidos;-33.53570382;-70.59031736
PE53;Volc¡n Huesqui;-33.51505098;-70.56205478
PE530;Per⁄;-33.53581021;-70.58764866
PE531;Colombia;-33.53591545;-70.58506607
